ano,clube,jogos_sofa,gp_x,gc_x,pen,pen_sof,esc_fav,esc_contra,xg_bp_pro,xg_bp_sof,pro_esc,sof_esc,pro_fd,sof_fd,pro_fi,sof_fi,pro_lat,sof_lat,bp_pro_sem_pen,bp_sof_sem_pen,bp_pro,bp_sof,saldo_bp,saldo_bp_sem_pen,saldo_bola_rolando,pct_gols_bp,gols_por_escanteio_pct,gols_sof_por_escanteio_pct,saldo_xg_bp,bp_com_rem_pct,cantos_com_rem_pct,livres_com_rem_pct,cantos_pj,duel_aer_pct,altura_media,jogos,pontos,gp_y,gc_y,sg,pos,dist_g4,ppj,faixa,valor_eur,log_valor,posto_valor,ppj_esperado,rendimento
2023,Novorizontino,38,48,30,2,2,243,180,0.0,0.0,9,3,1,0,1,2,0,0,11,5,13,7,6,6,12,27.083333333333332,3.7037037037037037,1.6666666666666667,0.0,17.67815789473684,42.8271052631579,24.442105263157895,6.421052631578948,50.235263157894735,1.8075609756097561,38,63,48.0,30.0,18.0,6,-1,1.6578947368421053,Meio,13900000.0,16.44739939810092,10.5,1.3493742365976384,0.30852050024446687
2023,Ponte Preta,38,24,35,2,5,143,260,0.0,0.0,3,2,1,2,1,2,0,0,5,6,7,11,-4,-1,-7,29.166666666666668,2.097902097902098,0.7692307692307693,0.0,10.386842105263158,18.289473684210527,22.22736842105263,3.736842105263158,43.21052631578947,1.8113636363636365,38,42,24.0,35.0,-11.0,15,-22,1.105263157894737,Meio,10675000.0,16.18341511707896,13.0,1.2799862670803126,-0.17472310918557565
2023,Sampaio Corrêa,38,31,43,2,4,171,190,0.0,0.0,4,5,0,0,1,2,0,2,5,9,7,13,-6,-4,-6,22.580645161290324,2.3391812865497075,2.6315789473684212,0.0,12.009473684210526,28.640526315789472,24.848684210526315,4.526315789473684,44.60526315789474,1.805625,38,39,31.0,43.0,-12.0,17,-25,1.0263157894736843,Cai,8500000.0,15.955576721460545,17.0,1.2200992026352449,-0.19378341316156056
2023,Sport,38,59,40,4,6,248,186,0.0,0.0,11,4,0,1,4,2,1,0,16,7,20,13,7,9,12,33.898305084745765,4.435483870967742,2.150537634408602,0.0,13.696315789473685,27.3778947368421,22.127368421052633,6.5,45.372894736842106,1.7973913043478262,38,63,59.0,40.0,19.0,5,-1,1.6578947368421053,Meio,17900000.0,16.70031127081098,4.0,1.415851836120754,0.24204290072135137
2023,Tombense,38,37,50,3,7,201,200,0.0,0.0,4,6,0,2,2,1,3,0,9,9,12,16,-4,0,-9,32.432432432432435,1.9900497512437811,3.0,0.0,13.937105263157894,24.287105263157894,23.95342105263158,5.315789473684211,48.683684210526316,1.8091836734693878,38,37,37.0,50.0,-13.0,18,-27,0.9736842105263158,Cai,6950000.0,15.754252217540975,19.0,1.1671812846176195,-0.19349707409130368
2023,Vila Nova,38,49,30,1,4,204,186,0.0,0.0,5,6,0,0,1,4,1,1,7,11,8,15,-7,-4,26,16.3265306122449,2.450980392156863,3.225806451612903,0.0,15.062631578947368,34.83868421052631,28.109736842105264,5.421052631578948,46.07342105263158,1.808235294117647,38,61,49.0,30.0,19.0,8,-3,1.605263157894737,Meio,10475000.0,16.164502023772474,14.0,1.2750149819085275,0.3302481759862095
2023,Vitória,38,50,31,6,0,186,167,0.0,0.0,7,2,1,2,6,2,0,0,14,6,20,6,14,8,5,40.0,3.763440860215054,1.1976047904191616,0.0,13.517894736842104,27.02894736842105,33.56552631578948,4.842105263157895,46.20842105263158,1.798032786885246,38,72,50.0,31.0,19.0,1,8,1.894736842105263,Sobe,14025000.0,16.456352009373035,9.0,1.3517274203389018,0.5430094217663612
2024,Amazonas,38,31,37,1,2,217,174,0.0,0.0,6,4,0,0,2,4,0,0,8,8,9,10,-1,0,-5,29.032258064516128,2.7649769585253456,2.2988505747126435,0.0,13.935263157894736,34.26394736842105,33.70921052631579,5.684210526315789,42.38578947368421,1.7884126984126985,38,52,31.0,37.0,-6.0,11,-12,1.368421052631579,Meio,9675000.0,16.08505579688012,17.0,1.254132631078651,0.11428842155292807
2024,América-MG,38,50,35,5,1,195,188,0.0,0.0,5,7,1,1,0,0,0,0,6,8,11,9,2,-2,13,22.0,2.5641025641025643,3.723404255319149,0.0,14.159210526315789,33.90605263157895,9.210526315789474,5.131578947368421,48.74763157894737,1.804255319148936,38,58,50.0,35.0,15.0,7,-6,1.5263157894736843,Meio,23325000.0,16.96503630469768,5.0,1.4854345116902712,0.040881277783413106
2024,Avaí,38,34,32,2,3,199,208,0.0,0.0,7,5,0,1,3,2,0,0,10,8,12,11,1,2,1,35.294117647058826,3.5175879396984926,2.4038461538461537,0.0,13.797631578947367,34.16894736842105,15.87657894736842,5.2105263157894735,49.861315789473686,1.8092857142857142,38,53,34.0,32.0,2.0,10,-11,1.394736842105263,Meio,19000000.0,16.759949537130716,8.0,1.4315276869306581,-0.036790844825395075
