ano,clube,jogador,pos11,idade,minutos,fatia,Contrato termina,Cantos/90,Livres/90,Livres directos/90,Assistências esperadas/90,Passes para a área de penálti/90,Cruzamentos/90,"Cruzamentos certos, %",rendimento,faixa,cantos_temp,livres_temp
2022,Tombense,Renatinho,ED,33.0,1184,0.31719434973209937,,0.78,0.23,0.08,0.11,2.18,1.01,69.23,0.17052437043767044,Meio,10.261333333333333,3.025777777777778
2022,Sampaio Corrêa,Rafael Vila,MEI,34.0,2383,0.6341752552378188,,0.38,0.04,0.0,0.04,1.51,0.72,31.58,0.4733855144264345,Meio,10.061555555555556,1.0591111111111111
2022,Grêmio,Biel,ED,21.0,2646,0.7808450704225353,2029-06-30,0.34,0.1,0.0,0.16,2.62,1.46,20.93,0.025855751827733586,Sobe,9.996,2.9400000000000004
2022,Chapecoense,Betinho,MED,30.0,1068,0.2867184067945526,2027-06-30,0.84,1.01,0.17,0.09,1.43,0.67,25.0,-0.16469053487358654,Meio,9.968,11.985333333333333
2022,Operário-PR,Arnaldo,LD,30.0,2929,0.7939429782410488,2026-11-30,0.28,0.12,0.0,0.05,2.15,1.94,36.51,-0.39133416123100295,Cai,9.112444444444446,3.905333333333333
2022,Guarani,Matheus Pereira,LE,21.0,1455,0.39261621489022447,2028-06-30,0.56,0.43,0.0,0.04,1.3,1.61,50.0,0.053639264952930255,Meio,9.053333333333335,6.951666666666666
2022,Criciúma,Marcelo Hermes,LE,27.0,2464,0.6454870207192188,2026-12-31,0.33,0.44,0.15,0.08,3.8,4.49,24.39,0.3122380378239036,Meio,9.034666666666666,12.046222222222223
2022,Guarani,Júlio César,EE,28.0,1223,0.33001349196614743,,0.66,0.59,0.0,0.2,3.68,4.27,31.03,0.053639264952930255,Meio,8.968666666666667,8.017444444444443
2022,Ponte Preta,Léo Naldi,MED,21.0,3102,0.8201418098786203,2027-12-31,0.26,0.2,0.0,0.05,1.02,0.81,28.57,-0.16202681237652006,Meio,8.961333333333332,6.893333333333334
2022,Tombense,Nenê Bonilha,MEI,30.0,967,0.2590599123234291,2026-09-15,0.78,1.56,0.1,0.08,0.78,0.68,42.86,0.17052437043767044,Meio,8.380666666666666,16.761333333333333
2022,Vasco,Figueiredo,ED,20.0,2495,0.659688003268995,2028-06-30,0.29,0.69,0.36,0.09,2.78,1.95,37.04,0.0703163200791106,Sobe,8.039444444444444,19.128333333333334
2022,CRB,Juninho Valoura,VOL,36.0,1072,0.28639432651673385,,0.67,1.76,0.34,0.11,1.85,0.76,44.44,-0.06933256682494893,Meio,7.980444444444444,20.963555555555555
2022,Sport,Sander,LE,31.0,2723,0.7262213601648685,2026-11-30,0.2,0.0,0.0,0.06,2.64,2.88,34.48,0.10876017669562454,Meio,6.051111111111111,0.0
