ano,clube,jogos,pontos,gp,gc,sg,pos,dist_g4,ppj,faixa,valor_eur,log_valor,posto_valor,ppj_esperado,rendimento,gols,artilheiro_pct,top3_pct,marcadores,gols_zaga_vol,gols_laterais,pts_apos_derrota,pts_apos_vitoria,maior_seq_sem_vencer,pts_casa,pts_fora,dias_lesao,lesionados,elenco_tm
2024,Goiás,38,63,56.0,32.0,24.0,6,-1,1.6578947368421053,Meio,28750000.0,17.174148325207632,3.0,1.540399369630597,0.11749536721150822,55.0,12.727272727272727,36.36363636363637,20.0,5.0,4.0,1.7272727272727273,1.6470588235294117,4,2.210526315789474,1.105263157894737,31,1,59
2024,América-MG,38,58,50.0,35.0,15.0,7,-6,1.5263157894736843,Meio,23325000.0,16.96503630469768,5.0,1.4854345116902712,0.040881277783413106,47.0,17.02127659574468,40.42553191489362,16.0,9.0,1.0,2.5,1.0,5,2.3684210526315788,0.6842105263157895,278,5,47
2024,Operário-PR,37,55,31.0,30.0,1.0,8,-9,1.4864864864864864,Meio,12450000.0,16.33723118087499,12.0,1.3204166453764588,0.16606984111002765,31.0,19.35483870967742,38.70967741935484,14.0,3.0,1.0,2.0,1.2666666666666666,5,1.8333333333333333,1.1578947368421053,0,0,56
2024,Vila Nova,38,55,42.0,54.0,-12.0,9,-9,1.4473684210526316,Meio,12075000.0,16.306647757502912,13.0,1.3123778271541697,0.1349905938984619,41.0,26.829268292682926,56.09756097560975,14.0,3.0,5.0,2.142857142857143,0.875,5,2.263157894736842,0.631578947368421,410,5,68
2024,Avaí,38,53,34.0,32.0,2.0,10,-11,1.394736842105263,Meio,19000000.0,16.759949537130716,8.0,1.4315276869306581,-0.036790844825395075,34.0,14.705882352941176,38.23529411764706,16.0,5.0,2.0,1.2307692307692308,1.7692307692307692,9,1.736842105263158,1.0526315789473684,0,0,44
2024,Amazonas,38,52,31.0,37.0,-6.0,11,-12,1.368421052631579,Meio,9675000.0,16.08505579688012,17.0,1.254132631078651,0.11428842155292807,30.0,20.0,46.666666666666664,14.0,3.0,0.0,1.9285714285714286,0.6153846153846154,3,1.894736842105263,0.8421052631578947,165,2,63
2024,Paysandu,38,50,41.0,43.0,-2.0,12,-14,1.3157894736842106,Meio,13825000.0,16.441989105372674,10.0,1.3479521472768123,-0.03216267359260172,40.0,25.0,45.0,14.0,12.0,2.0,1.6666666666666667,0.9090909090909091,9,1.736842105263158,0.8947368421052632,132,2,48
2024,Coritiba,38,50,41.0,44.0,-3.0,13,-14,1.3157894736842106,Meio,32050000.0,17.282807741330952,2.0,1.568960374189456,-0.2531709005052454,40.0,25.0,52.5,16.0,5.0,4.0,1.4,1.0714285714285714,6,1.8421052631578947,0.7894736842105263,470,8,55
2024,Botafogo-SP,38,45,36.0,51.0,-15.0,14,-19,1.1842105263157894,Meio,9525000.0,16.06943047897704,18.0,1.2500255339508977,-0.06581500763510828,34.0,14.705882352941176,32.35294117647059,19.0,5.0,7.0,1.1333333333333333,1.5,7,1.2105263157894737,1.1578947368421053,0,0,45
2024,Chapecoense,37,44,32.0,42.0,-10.0,15,-20,1.1891891891891893,Meio,11425000.0,16.25131449474454,14.0,1.2978335416584255,-0.1086443524692362,31.0,22.580645161290324,48.38709677419355,14.0,8.0,5.0,1.2142857142857142,1.0,10,1.3157894736842106,1.0555555555555556,183,1,55
2024,CRB,38,43,38.0,45.0,-7.0,16,-21,1.131578947368421,Meio,13675000.0,16.43107990627232,11.0,1.3450846766391535,-0.21350572927073252,37.0,27.027027027027028,54.054054054054056,13.0,4.0,4.0,1.1764705882352942,1.0909090909090908,13,1.5263157894736843,0.7368421052631579,548,8,52
2024,Ponte Preta,38,38,37.0,55.0,-18.0,17,-26,1.0,Cai,7875000.0,15.879203742675971,19.0,1.200024651592523,-0.20002465159252303,37.0,18.91891891891892,51.351351351351354,14.0,5.0,2.0,1.5263157894736843,0.3,7,1.5263157894736843,0.47368421052631576,50,1,50
2024,Ituano,38,37,43.0,63.0,-20.0,18,-27,0.9736842105263158,Cai,11350000.0,16.244728301891687,15.0,1.2961023683206045,-0.32241815779428873,42.0,19.047619047619047,47.61904761904762,15.0,2.0,2.0,1.3181818181818181,0.5454545454545454,6,1.263157894736842,0.6842105263157895,341,2,58
2024,Brusque,38,36,24.0,44.0,-20.0,19,-28,0.9473684210526315,Cai,7500000.0,15.830413578506539,20.0,1.1872002121561005,-0.23983179110346897,23.0,17.391304347826086,39.130434782608695,15.0,5.0,3.0,1.1176470588235294,0.25,8,1.5263157894736843,0.3684210526315789,6,1,48
2024,Guarani,38,33,33.0,53.0,-20.0,20,-31,0.868421052631579,Cai,20600000.0,16.84080163375981,7.0,1.4527795690298229,-0.5843585163982439,32.0,34.375,53.125,13.0,4.0,1.0,0.9523809523809523,0.875,13,1.3157894736842106,0.42105263157894735,165,2,62
2025,Coritiba,38,68,39.0,23.0,16.0,1,6,1.7894736842105263,Sobe,23500000.0,16.972510979114386,4.0,1.4873992214016623,0.3020744628088641,37.0,16.216216216216218,40.54054054054054,15.0,3.0,4.0,1.75,1.7222222222222223,3,1.8421052631578947,1.736842105263158,475,5,70
2025,Athletico-PR,38,65,53.0,43.0,10.0,2,3,1.7105263157894737,Sobe,50500000.0,17.73748389424559,1.0,1.6884714864290196,0.02205482936045411,54.0,16.666666666666668,40.74074074074074,19.0,1.0,4.0,1.4545454545454546,2.0555555555555554,7,1.8421052631578947,1.5789473684210527,919,13,58
2025,Chapecoense,38,62,52.0,35.0,17.0,3,0,1.631578947368421,Sobe,10000000.0,16.11809565095832,18.0,1.2628171193321176,0.3687618280363034,51.0,15.686274509803921,41.1764705882353,14.0,5.0,16.0,1.5833333333333333,1.4705882352941178,5,1.894736842105263,1.368421052631579,540,5,48
2025,Remo,38,62,51.0,39.0,12.0,4,0,1.631578947368421,Sobe,27650000.0,17.135136285932617,3.0,1.5301450992568304,0.10143384811159062,48.0,31.25,50.0,19.0,8.0,3.0,2.25,1.7333333333333334,3,1.8421052631578947,1.4210526315789473,0,0,59
2025,Criciúma,38,61,47.0,33.0,14.0,5,-1,1.605263157894737,Meio,19725000.0,16.79739742469621,8.0,1.441370821797717,0.16389233609701992,47.0,19.148936170212767,48.93617021276596,16.0,8.0,4.0,1.6,1.8823529411764706,6,2.0,1.2105263157894737,871,7,69
2025,Goiás,38,61,42.0,37.0,5.0,6,-1,1.605263157894737,Meio,18250000.0,16.719675637992776,10.0,1.4209417381199607,0.18432141977477623,41.0,24.390243902439025,41.46341463414634,21.0,5.0,5.0,1.8,1.4705882352941178,6,1.7894736842105263,1.4210526315789473,111,2,49
2025,Novorizontino,38,60,43.0,32.0,11.0,7,-2,1.5789473684210527,Meio,13375000.0,16.408897850746346,14.0,1.3392541484474396,0.23969321997361304,45.0,13.333333333333334,33.333333333333336,19.0,5.0,1.0,1.25,1.7857142857142858,7,2.0,1.1578947368421053,304,2,42
2025,Avaí,38,56,50.0,40.0,10.0,8,-6,1.4736842105263157,Meio,13200000.0,16.3957273875566,15.0,1.3357923071029427,0.13789190342337299,50.0,26.0,44.0,18.0,2.0,5.0,1.8,1.1428571428571428,4,1.894736842105263,1.0526315789473684,66,1,53
2025,CRB,38,56,45.0,40.0,5.0,9,-6,1.4736842105263157,Meio,20200000.0,16.821193162371433,7.0,1.447625504516167,0.026058706010148702,42.0,19.047619047619047,45.23809523809524,15.0,3.0,1.0,2.0,0.875,6,2.210526315789474,0.7368421052631579,47,1,53
2025,Cuiabá,38,54,43.0,44.0,-1.0,10,-8,1.4210526315789473,Meio,21900000.0,16.90199719478673,6.0,1.4688647529911298,-0.047812121412182496,43.0,23.25581395348837,44.18604651162791,16.0,5.0,6.0,1.25,1.0,5,2.0,0.8421052631578947,238,2,60
2025,Atlético-GO,38,52,39.0,38.0,1.0,11,-10,1.368421052631579,Meio,28675000.0,17.171536220979707,2.0,1.5397127809903886,-0.17129172835880957,35.0,17.142857142857142,45.714285714285715,15.0,7.0,3.0,1.4545454545454546,0.9230769230769231,5,2.0,0.7368421052631579,492,7,66
2025,Operário-PR,38,48,40.0,44.0,-4.0,12,-14,1.263157894736842,Meio,19100000.0,16.76519889301686,9.0,1.4329074741846686,-0.16974957944782654,39.0,23.076923076923077,53.84615384615385,16.0,4.0,0.0,1.0,1.0,4,1.736842105263158,0.7894736842105263,89,2,64
2025,Vila Nova,38,47,40.0,44.0,-4.0,13,-15,1.236842105263158,Meio,11175000.0,16.229189698463905,16.0,1.2920180639945489,-0.05517595873139092,38.0,15.789473684210526,42.10526315789474,17.0,10.0,1.0,1.2307692307692308,1.2727272727272727,9,1.6842105263157894,0.7894736842105263,520,4,66
