id_jogador,jogador,temporada_tm,lesao,de,ate,dias,jogos_perdidos,dias_2022,dias_2023,dias_2024,dias_2025,dias_2026
387925,Ronaldo,25/26,Lesão no ombro,2026-03-23,2026-05-29,68,11,0,0,0,0,59
387925,Ronaldo,24/25,Lesão na coxa,2025-04-18,2025-05-20,33,9,0,0,0,33,0
387925,Ronaldo,24/25,Lesão no joelho,2025-01-20,2025-02-08,20,5,0,0,0,0,0
387925,Ronaldo,24/25,Problemas musculares,2024-07-25,2024-08-17,24,5,0,0,24,0,0
387925,Ronaldo,22/23,Lesão no ombro,2022-08-01,2022-08-03,3,0,3,0,0,0,0
388236,Rodrigo Soares,21/22,Coronavírus,2021-12-09,2021-12-27,19,5,0,0,0,0,0
388236,Rodrigo Soares,20/21,Lesão muscular,2020-08-25,2020-10-12,49,7,0,0,0,0,0
388236,Rodrigo Soares,18/19,Problemas no Joelho,2018-08-18,2018-08-27,10,1,0,0,0,0,0
688668,Lucas Esteves,22/23,Problemas musculares na coxa,2023-02-26,2023-04-13,47,14,0,13,0,0,0
596586,Moraes,21/22,Vírus,2022-06-16,2022-06-20,5,1,5,0,0,0,0
480274,Shaylon,25/26,Lesão desconhecida,2025-11-20,2025-11-28,9,1,0,0,0,9,0
480274,Shaylon,24/25,Problemas musculares na coxa,2025-04-10,2025-05-26,47,7,0,0,0,47,0
403148,Ángelo Araos,23/24,Rotura dos ligamentos cruzados,2024-02-16,2024-12-09,298,52,0,0,244,0,0
403148,Ángelo Araos,23/24,Recuperação ritmo competitivo,2024-01-01,2024-02-10,41,7,0,0,0,0,0
403148,Ángelo Araos,22/23,Rotura dos ligamentos cruzados,2023-03-16,2023-12-31,291,41,0,244,0,0,0
372013,Luiz Fernando,24/25,Lesão muscular,2024-09-26,2024-10-02,7,1,0,0,7,0,0
552242,Baralhas,26/27,Fissura,2026-08-15,,28,6,0,0,0,0,1
552242,Baralhas,25/26,Lesão na coxa,2026-04-19,2026-05-08,20,4,0,0,0,0,20
552242,Baralhas,25/26,Lesão na coxa,2025-10-21,2025-11-04,15,2,0,0,0,15,0
552242,Baralhas,25/26,Lesão desconhecida,2025-08-04,2025-08-30,27,3,0,0,0,27,0
552242,Baralhas,24/25,Problemas físicos,2025-05-04,2025-05-09,6,1,0,0,0,6,0
552242,Baralhas,24/25,Lesão no joelho,2025-03-24,2025-04-01,9,2,0,0,0,1,0
1091022,David Braga,25/26,Lesão nos adutores,2026-04-16,2026-05-01,16,4,0,0,0,0,16
407654,Matheus Sales,24/25,Lesão desconhecida,2025-02-05,2026-01-10,340,43,0,0,0,244,0
407654,Matheus Sales,20/21,Lesão no joelho,2020-12-26,2021-03-28,93,13,0,0,0,0,0
804900,Mikael,25/26,Fratura Cervical,2026-04-12,,153,6,0,0,0,0,1
880217,Alix,25/26,Lesão na coxa,2026-02-05,2026-02-20,16,3,0,0,0,0,0
880217,Alix,24/25,Tendinite,2024-07-29,2024-09-13,47,7,0,0,47,0,0
880217,Alix,23/24,Lesão no tornozelo,2024-06-12,2024-06-29,18,4,0,0,18,0,0
697401,Heron,24/25,Rotura de ligamentos no joelho,2024-07-11,2025-05-09,303,51,0,0,143,39,0
694495,João Maistro,24/25,Lesão desconhecida,2025-05-17,2025-06-30,45,7,0,0,0,45,0
694495,João Maistro,24/25,lesão na perna,2025-04-07,2025-04-09,3,0,0,0,0,3,0
694495,João Maistro,24/25,lesão na perna,2024-09-07,2024-09-15,9,2,0,0,9,0,0
694495,João Maistro,19/20,Lesão desconhecida,2019-09-15,2019-09-30,16,3,0,0,0,0,0
373150,Luiz Felipe,23/24,Lesão no joelho,2024-05-02,2024-06-18,48,6,0,0,48,0,0
371025,Ramon Menezes,24/25,Problemas musculares na coxa,2025-03-10,2025-04-11,33,6,0,0,0,11,0
371025,Ramon Menezes,22/23,Problemas no tendão de Aquiles,2022-07-11,2022-07-14,4,0,4,0,0,0,0
271498,Denilson Junior,25/26,Lesão desconhecida,2025-10-04,2025-10-17,14,1,0,0,0,14,0
271498,Denilson Junior,19/20,Traumatismo no pé,2019-10-28,2019-11-11,15,2,0,0,0,0,0
80815,Jael,18/19,Lesão na anca,2019-05-17,2019-06-27,42,8,0,0,0,0,0
80815,Jael,16/17,Rotura dos ligamentos cruzados,2017-02-24,2017-08-24,182,48,0,0,0,0,0
