ano,clube,duelos_def_cru,duelos_def_padj,duelos_def_pct,aereos_pct,duelos_pct,intercep_padj,duelos_of_padj,duelos_of_pct,jogos,pontos,gp,gc,sg,pos,dist_g4,ppj,faixa,valor_eur,log_valor,posto_valor,ppj_esperado,rendimento,posse
2023,Vila Nova,4.345000000000001,4.2423790828177355,66.47,60.69499999999999,61.495,4.87214536783901,0.6097495199672067,40.86,38,61,49.0,30.0,19.0,8,-3,1.605263157894737,Meio,10475000.0,16.164502023772474,14.0,1.2750149819085275,0.3302481759862095,48.79052631578947
2023,Vitória,5.08,5.293349859056059,73.07,64.01,65.875,5.439229579581227,1.5091724089083165,51.35,38,72,50.0,31.0,19.0,1,8,1.894736842105263,Sobe,14025000.0,16.456352009373035,9.0,1.3517274203389018,0.5430094217663612,52.015263157894736
2024,Amazonas,4.725,4.800288739172281,70.235,48.150000000000006,58.31,4.520906854881831,1.004249144989118,42.215,38,52,31.0,37.0,-6.0,11,-12,1.368421052631579,Meio,9675000.0,16.08505579688012,17.0,1.254132631078651,0.11428842155292807,50.78421052631579
2024,América-MG,5.413333333333334,6.0328427836008975,66.00666666666667,60.48,62.11666666666667,3.97112619191463,2.3125277431733893,52.86333333333334,38,58,50.0,35.0,15.0,7,-6,1.5263157894736843,Meio,23325000.0,16.96503630469768,5.0,1.4854345116902712,0.040881277783413106,55.134473684210526
2024,Avaí,4.925,4.721741455956484,70.15,67.83500000000001,64.8,4.347837056398509,1.0136342886685257,42.81,38,53,34.0,32.0,2.0,10,-11,1.394736842105263,Meio,19000000.0,16.759949537130716,8.0,1.4315276869306581,-0.036790844825395075,47.84763157894737
2024,Botafogo-SP,6.36,5.903503800832469,64.64,65.85,63.92,4.074902780763292,1.1054829214867548,62.07,38,45,36.0,51.0,-15.0,14,-19,1.1842105263157894,Meio,9525000.0,16.06943047897704,18.0,1.2500255339508977,-0.06581500763510828,46.13368421052631
2024,Brusque,4.8133333333333335,4.554176709227204,69.35666666666667,52.54333333333333,60.50666666666666,5.0272560072771215,2.057057392236087,63.18333333333334,38,36,24.0,44.0,-20.0,19,-28,0.9473684210526315,Cai,7500000.0,15.830413578506539,20.0,1.1872002121561005,-0.23983179110346897,47.154736842105265
2024,CRB,8.86,9.541785698090962,61.91,51.5,53.825,4.3454972112637735,3.9292450976539475,46.379999999999995,38,43,38.0,45.0,-7.0,16,-21,1.131578947368421,Meio,13675000.0,16.43107990627232,11.0,1.3450846766391535,-0.21350572927073252,53.572631578947366
2024,Ceará,4.75,4.711489770455174,67.52000000000001,62.805,60.099999999999994,3.6154484659598127,2.994475900385785,53.275000000000006,38,64,59.0,41.0,18.0,4,0,1.6842105263157894,Sobe,24725000.0,17.02332543547305,4.0,1.5007557437491474,0.18345478256664194,49.59131578947368
2024,Chapecoense,5.26,4.924445613999575,62.65,66.67,62.8,4.886997358379806,0.9872733389793148,48.28,37,44,32.0,42.0,-10.0,15,-20,1.1891891891891893,Meio,11425000.0,16.25131449474454,14.0,1.2978335416584255,-0.1086443524692362,46.59297297297297
2024,Coritiba,3.4,3.477961247112915,71.76,58.04,59.19,3.6109421183260557,0.8900488523054274,37.14,38,50,41.0,44.0,-3.0,13,-14,1.3157894736842106,Meio,32050000.0,17.282807741330952,2.0,1.568960374189456,-0.2531709005052454,51.120789473684205
2024,Goiás,6.16,6.183987361502248,64.62,61.73,60.18,2.820942286659305,2.988408122178707,48.42,38,63,56.0,32.0,24.0,6,-1,1.6578947368421053,Meio,28750000.0,17.174148325207632,3.0,1.540399369630597,0.11749536721150822,50.19394736842105
2024,Guarani,4.275,4.182349942587624,71.905,61.08,63.94500000000001,4.568789294008003,0.9970881259049147,47.295,38,33,33.0,53.0,-20.0,20,-31,0.868421052631579,Cai,20600000.0,16.84080163375981,7.0,1.4527795690298229,-0.5843585163982439,48.89236842105263
2024,Ituano,5.335,4.982966527875412,69.23,62.395,65.75,4.917585523760834,0.6725111424477707,59.629999999999995,38,37,43.0,63.0,-20.0,18,-27,0.9736842105263158,Cai,11350000.0,16.244728301891687,15.0,1.2961023683206045,-0.32241815779428873,46.46763157894737
2024,Mirassol,4.3,4.431619086880346,62.11333333333332,64.28666666666668,59.833333333333336,4.737366450238757,0.9323103816645625,35.196666666666665,38,67,42.0,26.0,16.0,2,3,1.763157894736842,Sobe,16975000.0,16.647252231409034,9.0,1.401905327660523,0.36125256707631914,51.485
2024,Novorizontino,7.216666666666666,6.251814295202358,67.75666666666666,66.22,64.76666666666667,4.3228480369135935,1.9274693951218904,51.63333333333333,38,64,43.0,31.0,12.0,5,0,1.6842105263157894,Meio,11000000.0,16.213405830762646,16.0,1.2878692922317736,0.3963412340840158,42.28342105263158
2024,Operário-PR,3.02,3.309461612733164,62.61,69.57,65.71,5.314863848263524,1.5448774983721127,59.38,37,55,31.0,30.0,1.0,8,-9,1.4864864864864864,Meio,12450000.0,16.33723118087499,12.0,1.3204166453764588,0.16606984111002765,54.373243243243245
2024,Paysandu,5.18,5.820431239428957,67.34,47.545,58.15,4.078796409097898,1.5990536068201,27.755,38,50,41.0,43.0,-2.0,12,-14,1.3157894736842106,Meio,13825000.0,16.441989105372674,10.0,1.3479521472768123,-0.03216267359260172,55.50157894736842
2024,Ponte Preta,7.109999999999999,6.572859040418047,62.41,52.92,53.525000000000006,4.039858510074102,2.7551540926103177,37.725,38,38,37.0,55.0,-18.0,17,-26,1.0,Cai,7875000.0,15.879203742675971,19.0,1.200024651592523,-0.20002465159252303,45.913947368421056
2024,Santos,5.715,6.016522789481266,70.8,62.535,61.165000000000006,4.237358570019615,1.742664969276571,38.795,38,68,57.0,32.0,25.0,1,4,1.7894736842105263,Sobe,64075000.0,17.97556483021441,1.0,1.7510507910137747,0.03842289319675163,52.50578947368421
2024,Sport,4.76,5.252581570663599,67.13,62.885000000000005,61.11,4.005645189392619,1.8650934952698999,48.34,38,66,57.0,37.0,20.0,3,2,1.736842105263158,Sobe,20975000.0,16.858841810317543,6.0,1.457521409022072,0.2793206962410859,54.68894736842105
2024,Vila Nova,4.390000000000001,4.371387093900183,68.44,60.34,59.739999999999995,5.083355606915816,1.1900671807855554,53.885000000000005,38,55,42.0,54.0,-12.0,9,-9,1.4473684210526316,Meio,12075000.0,16.306647757502912,13.0,1.3123778271541697,0.1349905938984619,49.7871052631579
2025,América-MG,3.31,3.588997317810877,67.11500000000001,63.120000000000005,62.725,4.1365633738515095,0.7794110465400206,55.0,38,46,41.0,44.0,-3.0,14,-16,1.2105263157894737,Meio,23150000.0,16.957505338496517,5.0,1.4834550057470413,-0.2729286899575676,53.886842105263156
2025,Athletic,5.59,5.730240086323172,63.235,48.935,57.394999999999996,3.2905314270299435,1.4495247880811715,47.975,38,44,43.0,53.0,-10.0,15,-18,1.1578947368421053,Meio,17710000.0,16.689640009759017,11.0,1.413046907229842,-0.25515217038773663,51.223684210526315
2025,Athletico-PR,4.67,4.759350544163319,68.8,53.97,63.99,2.9656766774122607,0.5104175815092449,57.14,38,65,53.0,43.0,10.0,2,3,1.7105263157894737,Sobe,50500000.0,17.73748389424559,1.0,1.6884714864290196,0.02205482936045411,50.93868421052632
2025,Avaí,5.419999999999999,5.233441579891551,68.33666666666666,55.38666666666666,59.78,5.017795463130951,1.6833399735482946,49.626666666666665,38,56,50.0,40.0,10.0,8,-6,1.4736842105263157,Meio,13200000.0,16.3957273875566,15.0,1.3357923071029427,0.13789190342337299,48.21763157894737
2025,Botafogo-SP,3.98,3.7331964198438987,66.145,54.47,58.989999999999995,2.8139671506361044,3.3676362017369352,51.54,38,42,32.0,52.0,-20.0,16,-20,1.105263157894737,Meio,10125000.0,16.130518170956876,17.0,1.2660823646552526,-0.16081920676051564,46.69447368421052
2025,CRB,5.865,6.674752920035939,53.09,56.51,54.055,5.206648697214735,1.8772588594226707,48.485,38,56,45.0,40.0,5.0,9,-6,1.4736842105263157,Meio,20200000.0,16.821193162371433,7.0,1.447625504516167,0.026058706010148702,56.06578947368421
2025,Chapecoense,3.6366666666666667,3.458239699437279,61.76,58.92333333333334,59.6,4.20947967080908,1.170385744490752,57.663333333333334,38,62,52.0,35.0,17.0,3,0,1.631578947368421,Sobe,10000000.0,16.11809565095832,18.0,1.2628171193321176,0.3687618280363034,47.42026315789474
2025,Coritiba,3.55,3.7184455850005236,70.255,64.89,64.155,4.1688488530428405,0.9997130010523295,55.55,38,68,39.0,23.0,16.0,1,6,1.7894736842105263,Sobe,23500000.0,16.972510979114386,4.0,1.4873992214016623,0.3020744628088641,52.265
2025,Criciúma,4.15,4.078898361198477,64.015,63.010000000000005,60.225,5.3320538818076475,1.3993936407267742,40.41,38,61,47.0,33.0,14.0,5,-1,1.605263157894737,Meio,19725000.0,16.79739742469621,8.0,1.441370821797717,0.16389233609701992,49.12842105263158
2025,Cuiabá,4.25,4.200041610319359,63.3,65.97,61.76,4.812753562883596,1.538297645680196,53.85,38,54,43.0,44.0,-1.0,10,-8,1.4210526315789473,Meio,21900000.0,16.90199719478673,6.0,1.4688647529911298,-0.047812121412182496,49.40526315789474
2025,Ferroviária,4.036666666666666,3.921217760599337,59.61333333333334,49.46666666666667,55.03333333333333,4.15111574656346,1.263877892620992,51.303333333333335,38,40,43.0,52.0,-9.0,17,-22,1.0526315789473684,Cai,6650000.0,15.710127412632037,19.0,1.1555831295830599,-0.1029515506356915,48.52789473684211
2025,Goiás,4.27,4.23297262889879,65.19,70.47,63.22,3.8959209441621185,0.7364419288725589,30.43,38,61,42.0,37.0,5.0,6,-1,1.605263157894737,Meio,18250000.0,16.719675637992776,10.0,1.4209417381199607,0.18432141977477623,49.56263157894737
2025,Novorizontino,4.7299999999999995,4.804366536761129,67.05333333333334,62.35666666666666,62.95333333333334,5.109083230424626,1.3195743776594917,62.24666666666667,38,60,43.0,32.0,11.0,7,-2,1.5789473684210527,Meio,13375000.0,16.408897850746346,14.0,1.3392541484474396,0.23969321997361304,50.773947368421055
2025,Operário-PR,4.04,4.402688875123316,62.99,50.260000000000005,54.364999999999995,4.419035492233923,1.8616400521268939,45.31,38,48,40.0,44.0,-4.0,12,-14,1.263157894736842,Meio,19100000.0,16.76519889301686,9.0,1.4329074741846686,-0.16974957944782654,54.118947368421054
2025,Remo,5.19,5.004313625983253,63.03,52.79666666666666,57.28666666666667,4.698976571090248,1.4401020315204518,38.56666666666666,38,62,51.0,39.0,12.0,4,0,1.631578947368421,Sobe,27650000.0,17.135136285932617,3.0,1.5301450992568304,0.10143384811159062,48.14473684210526
2025,Vila Nova,5.12,4.692670596521017,62.635,53.605000000000004,58.074999999999996,3.2857859547905957,2.11785892135404,46.31,38,47,40.0,44.0,-4.0,13,-15,1.236842105263158,Meio,11175000.0,16.229189698463905,16.0,1.2920180639945489,-0.05517595873139092,45.44684210526316
