ano,Equipa,treinador,jogos,pontos,ppj,primeiro,ultimo,xg,xg_sof,dist_rem,dist_rem_sof,ppda,posse,ppj_esperado,posto_valor,pos_final_clube,pos_ao_assumir,pos_ao_sair,rendimento,temporada_inteira,ppj_vs_liga
2022,Chapecoense,Gilmar Dal Pozzo,11,16,1.4545454545454546,28,38,1.38,1.1363636363636365,20.46090909090909,20.505454545454544,9.308181818181819,53.804545454545455,1.348901061189376,9.0,14.0,15.0,13.0,0.10564439335607867,False,0.08454545454545448
2022,Sport,Gilmar Dal Pozzo,14,21,1.5,1,14,1.0371428571428571,0.9357142857142857,22.139285714285712,23.148571428571426,8.727142857142857,53.445,1.3912398233043755,6.0,7.0,,5.0,0.10876017669562454,False,0.1299999999999999
2023,Chapecoense,Gilmar Dal Pozzo,11,10,0.9090909090909091,11,21,1.1163636363636362,1.4436363636363636,20.44727272727273,21.035454545454545,11.167272727272728,48.49727272727273,1.3916426568978695,6.0,16.0,,17.0,-0.4825517478069604,False,-0.46090909090909105
2024,Avaí,Gilmar Dal Pozzo,16,24,1.5,4,19,1.2506249999999999,1.12125,20.72375,20.15,9.375625,49.24125,1.4315276869306581,8.0,10.0,17.0,11.0,0.06847231306934187,False,0.1299999999999999
2024,Chapecoense,Gilmar Dal Pozzo,15,24,1.6,23,37,0.9653333333333334,1.2306666666666668,20.240666666666666,20.02,12.596666666666666,46.294666666666664,1.2978335416584255,14.0,15.0,17.0,14.0,0.30216645834157463,False,0.22999999999999998
2025,Chapecoense,Gilmar Dal Pozzo,38,62,1.631578947368421,1,38,1.1721052631578948,1.3497368421052631,20.355263157894736,20.86,12.451315789473684,47.42026315789474,1.2628171193321176,18.0,3.0,,3.0,0.3687618280363034,True,0.2615789473684209
2026,Sport,Gilmar Dal Pozzo,11,13,1.1818181818181819,16,26,1.5681818181818181,1.41,19.016363636363636,19.519090909090906,10.05181818181818,53.85090909090909,1.4887936483765438,2.0,8.0,4.0,9.0,-0.30697546655836194,False,-0.18818181818181823
2019,Criciúma,Gilson Kleina,14,13,0.9285714285714286,1,14,1.1099999999999999,1.0171428571428571,20.497142857142855,22.232142857142858,8.263571428571428,54.30857142857143,,,,,16.0,,False,-0.4414285714285715
2019,Ponte Preta,Gilson Kleina,19,20,1.0526315789473684,20,38,1.2494736842105263,1.3589473684210527,20.824736842105263,19.809473684210527,7.952105263157895,51.88473684210526,,,,,10.0,,False,-0.31736842105263174
2020,Náutico,Gilson Kleina,17,17,1.0,5,21,1.0699999999999998,1.3864705882352941,21.141176470588235,19.78529411764706,7.964117647058822,53.81411764705882,,,,13.0,17.0,,False,-0.3700000000000001
2021,Ponte Preta,Gilson Kleina,37,49,1.3243243243243243,2,38,1.1178378378378377,1.127027027027027,21.227837837837836,20.96945945945946,11.686756756756758,48.174864864864865,,,,,10.0,,False,-0.045675675675675764
2022,Brusque,Gilson Kleina,11,6,0.5454545454545454,28,38,1.1336363636363638,1.2227272727272727,21.2,21.344545454545454,10.624545454545455,52.053636363636365,1.045525591917353,19.0,18.0,16.0,16.0,-0.5000710464628075,False,-0.8245454545454547
2022,Chapecoense,Gilson Kleina,15,18,1.2,1,15,0.9426666666666667,1.0986666666666667,20.983333333333334,20.567333333333334,9.135333333333334,46.592,1.348901061189376,9.0,14.0,,13.0,-0.14890106118937596,False,-0.17000000000000015
2025,Amazonas,Guilherme Alves,11,13,1.1818181818181819,5,15,1.231818181818182,1.75,18.216363636363635,19.0,11.422727272727274,43.413636363636364,1.3858637371338416,12.0,18.0,17.0,18.0,-0.2040455553156597,False,-0.18818181818181823
2021,Coritiba,Gustavo Morínigo,38,64,1.6842105263157894,1,38,1.1457894736842105,1.0597368421052633,20.783421052631578,20.721842105263157,10.081578947368422,51.59473684210526,,,,,3.0,,True,0.3142105263157893
2019,Sport,Guto Ferreira,38,68,1.7894736842105263,1,38,1.4292105263157895,1.2092105263157895,19.504473684210524,21.277894736842104,9.288157894736841,52.019473684210524,,,,,2.0,,True,0.4194736842105262
2022,Bahia,Guto Ferreira,14,25,1.7857142857142858,1,14,1.2692857142857144,0.8200000000000001,21.122857142857146,23.085714285714285,7.964285714285714,48.74214285714286,1.4664532785695537,4.0,3.0,,3.0,0.31926100714473216,False,0.4157142857142857
2023,Ceará,Guto Ferreira,11,14,1.2727272727272727,15,25,1.1654545454545455,1.1845454545454546,20.076363636363638,20.311818181818182,8.503636363636362,50.66545454545455,1.5956476930671757,1.0,11.0,8.0,11.0,-0.322920420339903,False,-0.0972727272727274
2025,Cuiabá,Guto Ferreira,21,31,1.4761904761904763,1,21,1.2747619047619048,1.081904761904762,19.786190476190477,20.226666666666667,10.302380952380952,51.08761904761904,1.4688647529911298,6.0,10.0,,8.0,0.0073257231993464345,False,0.10619047619047617
2025,Remo,Guto Ferreira,10,23,2.3,29,38,1.046,1.224,22.986,19.95,11.366,47.884,1.5301450992568304,3.0,4.0,11.0,3.0,0.7698549007431694,False,0.9299999999999997
2026,Vila Nova,Guto Ferreira,25,46,1.84,2,26,1.2963999999999998,1.1696,20.1124,18.072,9.6136,51.638000000000005,1.2878692922317736,10.0,3.0,,1.0,0.5521307077682265,False,0.47
2018,Vila Nova,Hemerson Maria,38,57,1.5,1,38,1.2226315789473685,1.0278947368421054,20.702894736842108,22.54605263157895,9.85,49.97657894736842,,,,,7.0,,True,0.1299999999999999
2019,Botafogo-SP,Hemerson Maria,23,26,1.1304347826086956,16,38,1.1017391304347826,1.086521739130435,20.677391304347825,21.031304347826087,12.396521739130435,49.20521739130435,,,,4.0,8.0,,False,-0.23956521739130454
2019,Figueirense,Hemerson Maria,12,18,1.5,1,12,1.2083333333333333,1.0441666666666667,21.484166666666667,21.933333333333334,9.898333333333333,50.685,,,,,10.0,,False,0.1299999999999999
2020,Brasil de Pelotas,Hemerson Maria,17,20,1.1764705882352942,1,17,0.6529411764705882,1.3670588235294117,22.978235294117646,21.150000000000002,14.041176470588235,42.21411764705882,,,,,14.0,,False,-0.19352941176470595
2021,Vila Nova,Higo Magalhães,18,32,1.7777777777777777,21,38,1.135,1.0294444444444446,20.537777777777777,22.307222222222222,10.716666666666667,43.333333333333336,,,,17.0,9.0,,False,0.4077777777777776
2020,Náutico,Hélio dos Anjos,10,15,1.5,22,31,1.327,0.899,21.425,21.481,8.103,52.788,,,,17.0,16.0,,False,0.1299999999999999
2021,Náutico,Hélio dos Anjos,32,48,1.5,1,38,1.5240624999999999,1.3884375,19.7925,20.639375,6.2990625,55.6403125,,,,,8.0,,True,0.1299999999999999
