ordem,pos11,jogador,clube,liga,mercado_l,idade,minutos,contrato,livre,valor,nota,aderencia_ajustada,nivel_overall,psv,sofa_vmax,tipo,tipo_pref,bp,sofa_nota,sofa_xgxa,scouts,score
3,MED,Luan Gonçalves,Juventude,Série B,Série B,26.0,1258,2026-12-31,True,,63.2,79.7,46.7,28.1,,Médio em tudo,True,0.0,,,,66.2
4,MED,J. Concha,Universitario,Peru,Sul-americanas,27.0,1616,2026-12-31,True,0.0,62.7,54.6,70.9,28.22,,Médio em tudo,True,0.0,,,,65.7
5,MED,Arthur Rezende,Muharraq,Bahrain,Exterior,32.0,1839,,True,500000.0,61.8,54.5,69.1,,,,False,92.6,,,,64.8
6,MED,G. Wilson Da Silva Moreira,Khalidiya ,Bahrain,Exterior,30.0,1437,2026-06-30,True,0.0,63.7,55.4,72.0,,,,False,0.0,,,,63.7
7,MED,F. Gaibor,Alianza Lima,Peru,Sul-americanas,34.0,1236,2026-12-31,True,650000.0,63.3,56.4,70.1,27.5,,Baixa intensidade,False,0.0,,,,63.3
8,MED,Raí,Juventude,Série B,Série B,24.0,2186,2026-12-31,True,,59.2,70.0,48.4,,35.11,,False,86.7,7.261,0.221,,62.2
9,MED,J. Meneses,Deportes Limache,Chile,Sul-americanas,33.0,1762,2026-12-31,True,0.0,61.8,56.0,67.5,28.98,,Explosivo e rápido,False,0.0,,,,61.8
10,MED,Agustín Arce,Universidad de Chile,Chile,Sul-americanas,21.0,912,2027-12-31,False,0.0,56.3,52.1,60.5,27.03,,Médio em tudo,True,0.0,,,"média ≥6,5",61.3
1,MEI,F. Carrizo,Club Libertad,Paraguai,Sul-americanas,35.0,1335,2026-12-31,True,500000.0,76.0,61.0,90.9,27.22,,Médio em tudo,True,0.0,,,,79.0
2,MEI,Matheus Frizzo,Suwon,Coreia B,Exterior,28.0,1919,,True,0.0,72.8,61.0,84.5,,,,False,0.0,,,,72.8
3,MEI,Jean Carlos,Náutico,Série B,Série B,34.0,960,2027-12-31,False,750000.0,65.5,75.9,,,34.85,,False,96.5,6.713,0.236,,68.5
4,MEI,K. Álvarez,Patriotas Boyacá,Colombia B,Sul-americanas,21.0,1369,,True,0.0,62.3,50.6,73.9,,,,False,95.0,,,,65.3
5,MEI,Guilherme Marques,Atlético-GO,Série B,Série B,35.0,956,2026-11-30,True,650000.0,59.0,62.6,55.5,28.0,34.92,Médio em tudo,True,90.1,6.883,0.5700000000000001,,65.0
6,MEI,N. Quagliata,Melgar,Peru,Sul-americanas,27.0,1510,2029-12-31,False,0.0,62.0,58.3,65.6,27.64,,Explosivo e rápido,False,94.4,,,,65.0
7,MEI,A. Hohberg,Cienciano,Peru,Sul-americanas,35.0,1787,2027-12-31,False,400000.0,61.5,55.5,67.4,27.58,,Baixa intensidade,False,95.3,,,,64.5
8,MEI,M. Palavecino,Universidad Católica,Chile,Sul-americanas,28.0,1126,2028-12-31,False,0.0,60.8,57.6,64.0,28.11,,Médio em tudo,True,0.0,,,,63.8
9,MEI,D. Pazmiño,Leones del Norte,Equador A,Sul-americanas,26.0,1106,2026-12-31,True,50000.0,60.3,56.1,64.5,27.25,,Médio em tudo,True,0.0,,,,63.3
10,MEI,L. Berdugo,Cúcuta Deportivo,Colombia A,Sul-americanas,24.0,1726,2027-12-31,False,450000.0,55.9,49.6,62.2,27.27,,Médio em tudo,True,94.1,,,,61.9
1,ED,Vinícius,Náutico,Série B,Série B,33.0,1750,2027-12-31,False,1000000.0,84.6,90.9,78.3,,35.03,,False,0.0,7.086,0.448,,84.6
2,ED,Chrystian Barletta,Sport,Série B,Série B,25.0,1991,2029-07-31,False,,66.0,68.2,63.9,30.7,35.15,Explosivo e rápido,True,90.1,7.268,0.648,urgência,76.0
3,ED,Kevin Méndez,Unión La Calera,Chile,Sul-americanas,30.0,1481,,True,700000.0,63.1,52.0,74.2,29.41,,Explosivo e rápido,True,0.0,,,média ≥7,69.1
4,ED,Euller,Seoul E-Land,Coreia B,Exterior,31.0,1483,2028-12-31,False,350000.0,64.2,49.4,79.0,,,,False,92.5,,,,67.2
5,ED,F. González,O'Higgins,Chile,Sul-americanas,25.0,1256,2028-12-31,False,0.0,63.4,56.7,70.1,30.92,,Explosivo e rápido,True,0.0,,,,66.4
6,ED,Wellington Machado,Al Riffa,Bahrain,Exterior,27.0,1669,2030-06-30,False,0.0,65.3,54.9,75.7,,,,False,0.0,,,,65.3
7,ED,B. Palacios,Al Wasl,Emirados,Exterior,23.0,907,2030-06-30,False,0.0,61.4,57.9,64.9,31.11,,Explosivo e rápido,True,0.0,,,,64.4
8,ED,C. Sosa,Deportivo Táchira,Venezuela,Sul-americanas,31.0,1460,2027-12-31,False,275000.0,63.7,49.5,77.9,,,,False,0.0,,,,63.7
9,ED,Gabriel Honório,Busan I'Park,Coreia B,Exterior,30.0,1443,,True,175000.0,60.4,48.0,72.8,,,,False,91.7,,,,63.4
10,ED,Pedro Vitor,São Bernardo,Série B,Série B,28.0,1164,2026-12-31,True,,63.4,67.6,59.2,28.9,33.02,Motor de volume,False,0.0,6.936,0.375,,63.4
1,EE,Soares,Atlético-GO,Série B,Série B,26.0,1935,2029-08-25,False,,67.2,82.1,52.2,31.1,,Explosivo e rápido,True,0.0,,,,70.2
2,EE,Dadá Belmonte,CRB,Série B,Série B,29.0,2285,2026-11-30,True,,70.0,88.8,51.2,29.8,33.51,Baixa intensidade,False,81.8,7.348,0.478,,70.0
3,EE,Iago Teles,Londrina,Série B,Série B,26.0,1103,2027-06-30,True,,64.9,74.7,55.0,28.6,34.52,Baixa intensidade,False,92.0,6.969,0.33099999999999996,"média ≥6,5",69.9
4,EE,Janderson,Vila Nova,Série B,Série B,27.0,2279,2027-11-30,False,900000.0,65.3,81.2,49.3,29.9,35.76,Baixa intensidade,False,0.0,7.011,0.248,,65.3
5,EE,E. Tortolero,Carabobo,Venezuela,Sul-americanas,28.0,995,2027-12-31,False,0.0,63.5,56.3,70.6,,,,False,0.0,,,,63.5
6,EE,Luanzinho,Al Sharjah,Emirados,Exterior,26.0,1345,2027-06-30,True,0.0,62.8,53.3,72.3,28.05,,Baixa intensidade,False,0.0,,,,62.8
7,EE,D. Dawson,Envigado,Colombia B,Sul-americanas,20.0,1024,,True,0.0,61.2,51.1,71.3,,,,False,0.0,,,,61.2
8,EE,Jeffinho,Liaoning Tieren,China,Exterior,26.0,1248,2028-12-31,False,0.0,59.3,52.9,65.6,28.73,,Motor de volume,False,0.0,,,,59.3
9,EE,Davidson,Qingdao West Coast,China,Exterior,35.0,1537,,True,850000.0,59.1,53.1,65.2,29.37,,Baixa intensidade,False,0.0,,,,59.1
10,EE,G. Salega,Portuguesa,Venezuela,Sul-americanas,27.0,1001,,True,0.0,59.0,50.0,68.0,,,,False,0.0,,,,59.0
1,CA,Mikael,CRB,Série B,Série B,27.0,2236,2027-11-30,False,300000.0,78.9,94.0,63.8,29.6,35.08,Baixa intensidade,False,80.8,7.1,0.63,,78.9
2,CA,Robson,Novorizontino,Série B,Série B,35.0,2272,2026-12-31,True,900000.0,70.8,81.9,59.6,29.1,32.99,Motor de volume,True,76.4,7.133,0.658,,73.8
3,CA,L. Melgarejo,Club Libertad,Paraguai,Sul-americanas,35.0,1622,2027-06-30,True,800000.0,62.4,56.6,68.2,29.56,,Explosivo e rápido,False,0.0,,,,62.4
4,CA,Juninho,Muharraq,Bahrain,Exterior,27.0,1543,2028-06-30,False,0.0,62.2,56.9,67.6,,,,False,0.0,,,,62.2
5,CA,J. Torres,Tolima,Colombia A,Sul-americanas,22.0,1393,2029-06-30,False,0.0,58.2,44.6,71.8,27.77,,Motor de volume,True,0.0,,,,61.2
6,CA,Derek,Náutico,Série B,Série B,28.0,1526,2027-12-31,False,800000.0,61.1,82.8,39.3,29.4,,Explosivo e rápido,False,0.0,,,,61.1
7,CA,M. Estrada,LDU Quito,Equador A,Sul-americanas,30.0,1133,2027-06-30,True,0.0,58.0,59.3,56.8,29.96,,Baixa intensidade,False,92.1,,,,61.0
8,CA,A. Alcaraz,Olimpia,Paraguai,Sul-americanas,26.0,1124,2026-12-31,True,0.0,55.1,59.0,51.2,29.6,,Explosivo e rápido,False,88.7,,,,58.1
9,CA,M. Gómez,Nacional,Uruguai,Sul-americanas,30.0,1782,2027-12-31,False,0.0,55.1,56.1,54.0,29.18,,Baixa intensidade,False,91.1,,,,58.1
10,CA,Y. Guzmán,América de Cali,Colombia A,Sul-americanas,28.0,2055,2028-12-31,False,0.0,51.9,40.7,63.0,27.82,,Motor de volume,True,94.5,,,,57.9
