subamostra,setor,comparacao,fronteira,familia,indicador,nome,n_a,n_b,clubes_a,clubes_b,pct_a,pct_b,cru_a,cru_b,d,ic95_lo,ic95_hi,p,q,d_minimo_80,poder_suficiente,selo,passou_bh,passou_bh_nos_dois_cortes,confianca_do_achado
todos,Zaga,SM,sem,velocidade_maxima,psv99,PSV-99 da temporada (km/h),13,54,8,21,52.6,48.8,28.71,28.485,0.137,-0.34,0.69,0.63663,0.63663,0.88,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,SM,sem,velocidade_maxima,psv99_top5,PSV-99 dos 5 picos mais altos (km/h),13,54,8,21,71.9,45.8,31.46,30.75,0.539,0.05,1.08,0.06588,0.13176,0.88,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,CM,sem,velocidade_maxima,psv99,PSV-99 da temporada (km/h),21,54,11,21,60.0,48.8,28.8,28.485,0.154,-0.41,0.75,0.57431,0.69542,0.73,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Zaga,CM,sem,velocidade_maxima,psv99_top5,PSV-99 dos 5 picos mais altos (km/h),21,54,11,21,64.9,45.8,31.24,30.75,0.109,-0.41,0.69,0.69542,0.69542,0.73,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,SM,com,volume,distance_p90,Distância por 90 min (m),27,79,16,25,33.3,48.1,9495.78,9555.86,-0.095,-0.58,0.43,0.68719,0.85899,0.63,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,SM,com,volume,running_distance_p90,Distância em corrida por 90 min (m),27,79,16,25,40.0,49.0,1205.65,1236.95,-0.004,-0.5,0.49,0.98644,0.98644,0.63,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,SM,com,volume,m_per_min,Metros por minuto,27,79,16,25,33.3,48.1,105.51,106.18,-0.095,-0.57,0.42,0.68719,0.85899,0.63,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,SM,com,volume,m_per_min_tip,Metros por minuto COM a bola,27,79,16,25,33.3,48.3,132.02,135.47,-0.307,-0.83,0.21,0.19286,0.85899,0.63,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,SM,com,volume,m_per_min_otip,Metros por minuto SEM a bola,27,79,16,25,50.0,42.9,144.64,143.64,0.207,-0.32,0.8,0.36474,0.85899,0.63,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,CM,com,volume,distance_p90,Distância por 90 min (m),27,79,14,25,46.3,48.1,9479.3,9555.86,-0.023,-0.59,0.51,0.92558,0.92558,0.63,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,CM,com,volume,running_distance_p90,Distância em corrida por 90 min (m),27,79,14,25,40.8,49.0,1216.57,1236.95,-0.07,-0.57,0.44,0.7728,0.92558,0.63,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,CM,com,volume,m_per_min,Metros por minuto,27,79,14,25,46.3,48.1,105.33,106.18,-0.023,-0.57,0.55,0.92558,0.92558,0.63,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,CM,com,volume,m_per_min_tip,Metros por minuto COM a bola,27,79,14,25,33.3,48.3,132.99,135.47,-0.178,-0.7,0.35,0.46003,0.92558,0.63,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,CM,com,volume,m_per_min_otip,Metros por minuto SEM a bola,27,79,14,25,49.0,42.9,143.86,143.64,-0.076,-0.56,0.37,0.73471,0.92558,0.63,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,ST,com,volume,distance_p90,Distância por 90 min (m),27,27,16,11,33.3,55.0,9495.78,9607.56,-0.298,-0.93,0.37,0.27904,0.46507,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,ST,com,volume,running_distance_p90,Distância em corrida por 90 min (m),27,27,16,11,40.0,50.0,1205.65,1250.15,-0.123,-0.81,0.64,0.65259,0.65259,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,ST,com,volume,m_per_min,Metros por minuto,27,27,16,11,33.3,55.0,105.51,106.75,-0.299,-0.94,0.34,0.27703,0.46507,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
todos,Lateral,ST,com,volume,m_per_min_tip,Metros por minuto COM a bola,27,27,16,11,33.3,50.0,132.02,136.67,-0.386,-1.06,0.3,0.16172,0.46507,0.78,False,sem diferença clara,False,False,não separa (poder insuficiente)
