fronteira,familia,comparacao,indicador,citado,n_a,n_b,cru_a,cru_b,d,ic95_d,p,d_minimo_80,q,selo,poder_suficiente,setor,subamostra,unidade,medida_nome,nome
com,nivel_sem_bola,CM,distance_p30otip,0,18,53,4261.79,4343.18,-0.487,"[-1.26, 0.19]",0.06976,0.78,0.20928,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Distância sem a bola, por 30 min sem posse"
com,nivel_sem_bola,CM,high_accel_p30otip,0,18,53,3.095,2.9,0.087,"[-0.36, 0.6]",0.75578,0.78,0.75578,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Arrancadas fortes sem a bola, por 30 min sem posse"
com,nivel_sem_bola,CM,cod_count_p30otip,0,18,53,19.845,23.22,-0.356,"[-1.02, 0.21]",0.20391,0.78,0.30586,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Mudanças de direção sem a bola, por 30 min sem posse"
sem,razao,SM,r_distance,0,8,32,1.091,1.012,0.911,"[0.16, 1.8]",0.0106,1.14,0.01767,firme,False,Extremo,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Distância: sem a bola dividido por com a bola
sem,razao,SM,r_hi_distance,0,8,32,1.089,0.876,1.003,"[0.36, 1.74]",0.00395,1.14,0.01767,firme,False,Extremo,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Alta intensidade: sem a bola dividido por com a bola
sem,razao,SM,r_sprint_count,0,8,32,0.968,0.772,0.817,"[0.24, 1.51]",0.00992,1.14,0.01767,firme,False,Extremo,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Sprints: sem a bola dividido por com a bola
sem,razao,SM,r_high_accel,0,8,32,0.821,0.785,0.203,"[-0.7, 1.13]",0.65276,1.14,0.65276,sem diferença clara,False,Extremo,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Arrancadas fortes: sem a bola dividido por com a bola
sem,razao,SM,r_cod_count,0,8,32,1.209,1.062,0.506,"[-0.28, 1.31]",0.1886,1.14,0.23575,sem diferença clara,False,Extremo,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Mudanças de direção: sem a bola dividido por com a bola
sem,razao,CM,r_distance,0,15,32,1.005,1.012,-0.659,"[-1.68, 0.08]",0.02944,0.9,0.14718,pode ser sorte,False,Extremo,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Distância: sem a bola dividido por com a bola
sem,razao,CM,r_hi_distance,0,15,32,0.758,0.876,-0.234,"[-1.12, 0.49]",0.45512,0.9,0.56891,sem diferença clara,False,Extremo,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Alta intensidade: sem a bola dividido por com a bola
sem,razao,CM,r_sprint_count,0,15,32,0.675,0.772,-0.092,"[-0.92, 0.66]",0.77637,0.9,0.77637,sem diferença clara,False,Extremo,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Sprints: sem a bola dividido por com a bola
sem,razao,CM,r_high_accel,0,15,32,0.712,0.785,-0.323,"[-1.23, 0.42]",0.32334,0.9,0.5389,sem diferença clara,False,Extremo,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Arrancadas fortes: sem a bola dividido por com a bola
sem,razao,CM,r_cod_count,0,15,32,0.936,1.062,-0.383,"[-1.39, 0.55]",0.24442,0.9,0.5389,sem diferença clara,False,Extremo,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Mudanças de direção: sem a bola dividido por com a bola
sem,nivel_com_bola,SM,distance_p30tip,0,8,32,4205.305,4217.64,-0.133,"[-1.02, 0.67]",0.75281,1.14,0.75281,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Distância com a bola, por 30 min de posse"
sem,nivel_com_bola,SM,high_accel_p30tip,0,8,32,3.61,4.065,-0.332,"[-1.21, 0.33]",0.43269,1.14,0.75281,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Arrancadas fortes com a bola, por 30 min de posse"
sem,nivel_com_bola,SM,cod_count_p30tip,0,8,32,20.175,21.955,-0.164,"[-1.16, 0.67]",0.72427,1.14,0.75281,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Mudanças de direção com a bola, por 30 min de posse"
sem,nivel_com_bola,CM,distance_p30tip,0,15,32,4277.86,4217.64,0.217,"[-0.33, 0.76]",0.47236,0.9,0.61386,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Distância com a bola, por 30 min de posse"
sem,nivel_com_bola,CM,high_accel_p30tip,0,15,32,4.2,4.065,0.156,"[-0.49, 0.89]",0.61386,0.9,0.61386,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Arrancadas fortes com a bola, por 30 min de posse"
sem,nivel_com_bola,CM,cod_count_p30tip,0,15,32,22.41,21.955,0.213,"[-0.27, 0.62]",0.49138,0.9,0.61386,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Mudanças de direção com a bola, por 30 min de posse"
sem,nivel_sem_bola,SM,distance_p30otip,0,8,32,4619.235,4379.195,0.582,"[-0.34, 1.46]",0.14122,1.14,0.42367,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Distância sem a bola, por 30 min sem posse"
sem,nivel_sem_bola,SM,high_accel_p30otip,0,8,32,3.08,3.03,-0.055,"[-0.99, 0.71]",0.87414,1.14,0.87414,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Arrancadas fortes sem a bola, por 30 min sem posse"
sem,nivel_sem_bola,SM,cod_count_p30otip,0,8,32,25.7,23.445,0.289,"[-0.71, 1.03]",0.48617,1.14,0.72925,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Mudanças de direção sem a bola, por 30 min sem posse"
sem,nivel_sem_bola,CM,distance_p30otip,0,15,32,4312.9,4379.195,-0.34,"[-1.23, 0.43]",0.26545,0.9,0.54055,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Distância sem a bola, por 30 min sem posse"
sem,nivel_sem_bola,CM,high_accel_p30otip,0,15,32,3.09,3.03,-0.156,"[-0.66, 0.38]",0.60454,0.9,0.60454,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Arrancadas fortes sem a bola, por 30 min sem posse"
sem,nivel_sem_bola,CM,cod_count_p30otip,0,15,32,20.98,23.445,-0.298,"[-1.18, 0.42]",0.36037,0.9,0.54055,sem diferença clara,False,Extremo,todos,jogador-temporada,nível por 30 min da fase,"Mudanças de direção sem a bola, por 30 min sem posse"
com,razao,SM,r_distance,0,27,79,1.094,1.06,0.509,"[-0.02, 1.08]",0.02405,0.63,0.12026,pode ser sorte,False,Lateral,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Distância: sem a bola dividido por com a bola
com,razao,SM,r_hi_distance,0,27,79,1.186,1.107,0.241,"[-0.37, 0.87]",0.31149,0.63,0.31149,sem diferença clara,False,Lateral,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Alta intensidade: sem a bola dividido por com a bola
com,razao,SM,r_sprint_count,0,27,79,1.134,1.015,0.353,"[-0.24, 0.98]",0.14188,0.63,0.20046,sem diferença clara,False,Lateral,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Sprints: sem a bola dividido por com a bola
com,razao,SM,r_high_accel,0,27,79,1.173,1.044,0.469,"[-0.05, 1.03]",0.05489,0.63,0.13722,sem diferença clara,False,Lateral,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Arrancadas fortes: sem a bola dividido por com a bola
com,razao,SM,r_cod_count,0,27,79,1.808,1.724,0.324,"[-0.19, 0.88]",0.16037,0.63,0.20046,sem diferença clara,False,Lateral,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Mudanças de direção: sem a bola dividido por com a bola
com,razao,CM,r_distance,0,27,79,1.058,1.06,0.115,"[-0.48, 0.67]",0.6039,0.63,0.96981,sem diferença clara,False,Lateral,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Distância: sem a bola dividido por com a bola
com,razao,CM,r_hi_distance,0,27,79,1.092,1.107,0.04,"[-0.44, 0.49]",0.8507,0.63,0.96981,sem diferença clara,False,Lateral,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Alta intensidade: sem a bola dividido por com a bola
com,razao,CM,r_sprint_count,0,27,79,1.004,1.015,-0.021,"[-0.48, 0.37]",0.9251,0.63,0.96981,sem diferença clara,False,Lateral,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Sprints: sem a bola dividido por com a bola
com,razao,CM,r_high_accel,0,27,79,1.043,1.044,-0.148,"[-0.68, 0.35]",0.49528,0.63,0.96981,sem diferença clara,False,Lateral,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Arrancadas fortes: sem a bola dividido por com a bola
com,razao,CM,r_cod_count,0,27,79,1.692,1.724,0.008,"[-0.42, 0.43]",0.96981,0.63,0.96981,sem diferença clara,False,Lateral,todos,jogador-temporada,razão entre as duas fases (sem a bola ÷ com a bola),Mudanças de direção: sem a bola dividido por com a bola
com,nivel_com_bola,SM,distance_p30tip,0,27,79,3960.48,4064.05,-0.356,"[-0.87, 0.14]",0.13916,0.63,0.41747,sem diferença clara,False,Lateral,todos,jogador-temporada,nível por 30 min da fase,"Distância com a bola, por 30 min de posse"
com,nivel_com_bola,SM,high_accel_p30tip,0,27,79,3.1,3.33,-0.245,"[-0.81, 0.39]",0.33049,0.63,0.49574,sem diferença clara,False,Lateral,todos,jogador-temporada,nível por 30 min da fase,"Arrancadas fortes com a bola, por 30 min de posse"
com,nivel_com_bola,SM,cod_count_p30tip,0,27,79,13.31,12.6,0.075,"[-0.43, 0.6]",0.74231,0.63,0.74231,sem diferença clara,False,Lateral,todos,jogador-temporada,nível por 30 min da fase,"Mudanças de direção com a bola, por 30 min de posse"
com,nivel_com_bola,CM,distance_p30tip,0,27,79,3989.63,4064.05,-0.226,"[-0.77, 0.31]",0.36272,0.63,0.54407,sem diferença clara,False,Lateral,todos,jogador-temporada,nível por 30 min da fase,"Distância com a bola, por 30 min de posse"
com,nivel_com_bola,CM,high_accel_p30tip,0,27,79,2.98,3.33,-0.365,"[-0.88, 0.15]",0.14044,0.63,0.42133,sem diferença clara,False,Lateral,todos,jogador-temporada,nível por 30 min da fase,"Arrancadas fortes com a bola, por 30 min de posse"
