treinador,clube,clube_wyscout,id_clube,temporada,interino,em_curso,inicio,fim,rodadas,rodada_1a,rodada_ultima,rodadas_no_ano,jogos_tm_todas_competicoes,ppj_tm_todas_competicoes,fim_inferido
Daniel Barboza,CRB,CRB,11449,2022,1,0,2022-11-04,2022-11-07,1,38,38,38,1,0.00,0
Umberto Louzer,CRB,CRB,11449,2023,0,0,2023-01-10,2023-05-28,8,1,8,38,32,1.81,0
Daniel Paulista,CRB,CRB,11449,2023,0,0,2023-05-31,2024-09-05,30,9,38,38,83,1.69,0
Daniel Paulista,CRB,CRB,11449,2024,0,0,2023-05-31,2024-09-05,24,1,24,38,83,1.69,0
Bruno Pivetti,CRB,CRB,11449,2024,0,0,2024-09-09,2024-09-20,3,25,27,38,3,0.33,0
Hélio dos Anjos,CRB,CRB,11449,2024,0,0,2024-09-23,2024-11-30,11,28,38,38,11,1.55,0
Eduardo Barroca,CRB,CRB,11449,2025,0,0,2025-03-28,2026-07-04,38,1,38,38,79,1.49,0
Eduardo Barroca,CRB,CRB,11449,2026,0,0,2025-03-28,2026-07-04,16,1,16,27,79,1.49,0
Marcelo Cabo,CSA,CSA,18545,2018,0,0,2018-02-19,2019-06-30,38,1,38,38,79,1.57,0
Eduardo Baptista,CSA,CSA,18545,2020,0,0,2020-02-11,2020-08-30,3,1,3,31,15,1.27,0
Argel Fuchs,CSA,CSA,18545,2020,0,0,2020-08-31,2020-09-16,4,4,7,31,3,0.33,0
Adriano Rodrigues,CSA,CSA,18545,2020,1,0,2020-09-17,2020-09-23,2,8,9,31,1,3.00,0
Mozart,CSA,CSA,18545,2020,0,0,2020-09-24,2021-04-18,22,10,31,31,45,1.73,0
Mozart,CSA,CSA,18545,2021,0,0,2020-09-24,2021-04-18,7,1,7,45,45,1.73,0
Bruno Pivetti,CSA,CSA,18545,2021,0,0,2021-04-30,2021-07-04,8,8,15,45,13,1.23,0
Adriano Rodrigues,CSA,CSA,18545,2021,1,0,2021-07-05,2021-07-12,1,16,16,45,1,3.00,0
Ney Franco,CSA,CSA,18545,2021,0,0,2021-07-12,2021-09-01,12,17,28,45,12,1.42,0
Mozart,CSA,CSA,18545,2021,0,0,2021-09-02,2022-06-13,17,29,45,45,55,1.76,0
Mozart,CSA,CSA,18545,2022,0,0,2021-09-02,2022-06-13,12,1,12,38,55,1.76,0
