unidade,fronteira,comparacao,familia,setor,indicador,nome,n_a,n_b,clubes_a,clubes_b,pct_a,pct_b,cru_a,cru_b,d,ic95_lo,ic95_hi,p,q,d_minimo_80,poder_suficiente,passou_bh,selo
jogador-temporada,sem,SC,fisico,Atacante,spr_n,Sprints por 90 min,12,18,7,9,66.7,34.2,12.59,8.25,0.457,-0.12,1.2,0.24785,0.4661,1.08,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,fisico,Atacante,spr_km,Distância em sprint por 90 min (m),12,18,7,9,71.8,38.8,248.865,149.755,0.517,-0.1,1.24,0.18839,0.4661,1.08,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,fisico,Atacante,psv5,"Velocidade de pico, média dos 5 melhores jogos (km/h)",12,18,7,9,54.4,45.6,31.13,30.87,0.342,-0.19,1.0,0.37487,0.59003,1.08,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,fisico,Atacante,t_hsr_cod,Tempo até a alta velocidade depois de mudar de direção (s),12,18,7,9,43.6,44.9,0.65,0.675,0.301,-0.51,1.18,0.42344,0.59003,1.08,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,fisico,Atacante,hsr,Distância em corrida de alta velocidade por 90 min (m),12,18,7,9,46.2,38.8,516.125,493.89,0.448,-0.32,1.35,0.24478,0.4661,1.08,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,fisico,Atacante,psv,Velocidade de pico da temporada (km/h),12,18,7,9,52.2,46.6,28.98,28.67,0.2,-0.34,0.8,0.60686,0.68271,1.08,False,False,não separa (poder insuficiente)
jogador-temporada,sem,SC,fisico,Atacante,expl,Arrancadas explosivas até o sprint por 90 min,12,18,7,9,65.8,42.3,1.975,1.53,0.306,-0.33,1.15,0.42614,0.59003,1.08,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,duelo_corpo,Goleiro,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",16,48,16,25,19.6,53.6,0.0,50.0,-0.578,-1.2,-0.04,0.05823,0.30569,0.82,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,duelo_corpo,Goleiro,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",16,48,16,25,71.4,34.7,97.915,87.87,1.062,0.54,1.62,0.0003,0.00638,0.82,True,True,firme
jogador-temporada,com,SM,duelo_corpo,Goleiro,"Dribles com sucesso, %","Dribles com sucesso, %",16,48,16,25,39.6,50.0,0.0,0.0,-0.205,-0.67,0.29,0.45424,0.74704,0.82,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,duelo_corpo,Zaga,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",32,96,16,25,63.9,50.7,67.065,66.67,0.253,-0.18,0.69,0.24818,0.74453,0.58,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,duelo_corpo,Zaga,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",32,96,16,25,59.5,50.0,62.625,61.705,0.14,-0.16,0.45,0.46245,0.74704,0.58,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,duelo_corpo,Zaga,"Dribles com sucesso, %","Dribles com sucesso, %",32,96,16,25,52.5,50.0,66.67,66.67,-0.109,-0.49,0.25,0.58367,0.77439,0.58,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,duelo_corpo,Lateral,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",32,96,16,25,50.7,48.9,61.255,61.75,-0.11,-0.51,0.3,0.5589,0.77439,0.58,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,duelo_corpo,Lateral,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",32,96,16,25,40.7,50.4,46.87,51.155,-0.21,-0.64,0.22,0.33141,0.74704,0.58,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,duelo_corpo,Lateral,"Dribles com sucesso, %","Dribles com sucesso, %",32,96,16,25,60.8,46.8,59.81,57.415,0.227,-0.23,0.67,0.3177,0.74704,0.58,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,duelo_corpo,Volante,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",22,59,13,24,62.7,43.3,59.87,58.06,0.535,0.05,1.08,0.04216,0.29511,0.71,False,False,pode ser sorte
jogador-temporada,com,SM,duelo_corpo,Volante,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",22,59,13,24,56.0,46.7,50.0,50.0,0.073,-0.37,0.52,0.76044,0.87955,0.71,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,duelo_corpo,Volante,"Dribles com sucesso, %","Dribles com sucesso, %",22,59,13,24,46.6,46.7,58.835,58.33,0.117,-0.37,0.64,0.59001,0.77439,0.71,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,duelo_corpo,Meia,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",31,95,16,25,56.8,50.0,57.81,56.74,0.237,-0.2,0.67,0.2419,0.74453,0.58,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,duelo_corpo,Meia,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",31,95,16,25,46.0,55.2,35.29,40.38,-0.263,-0.77,0.21,0.21165,0.74453,0.58,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,duelo_corpo,Meia,"Dribles com sucesso, %","Dribles com sucesso, %",31,95,16,25,53.1,42.2,55.32,54.55,0.166,-0.22,0.6,0.41135,0.74704,0.58,False,False,não separa (poder insuficiente)
jogador-temporada,com,SM,duelo_corpo,Extremo,"Duelos defensivos ganhos, %","Duelos defensivos ganhos, %",19,61,11,17,75.7,43.2,59.72,55.06,0.521,-0.07,1.08,0.04188,0.29511,0.75,False,False,pode ser sorte
jogador-temporada,com,SM,duelo_corpo,Extremo,"Duelos aéreos ganhos, %","Duelos aéreos ganhos, %",19,61,11,17,56.8,52.4,32.0,31.82,0.042,-0.5,0.57,0.87745,0.88592,0.75,False,False,não separa (poder insuficiente)
