temporada,clube,faixa,trave,fronteira,dist_g4,no_recorte,jogador,posicao,setor,idade_na_temporada,sc_player_id,sc_nome,sc_short_name,wyscout_player_id,nascimento,minutos_wy,jogos_wy,fatia_pct,sc_matches,sc_min_medio,sc_min_tot,sc_poucos_jogos,tem_fisico,elegivel,titular,titular_ordem,clube_sc,clube_confere,clubes_no_ano_sc,cobertura_clube_pct,cobertura_baixa,distance_p90,running_distance_p90,m_per_min,m_per_min_tip,m_per_min_otip,hi_distance_p90,hi_count_p90,hsr_distance_p90,high_accel_p90,hi_distance_p30tip,hi_distance_p30otip,sprint_distance_p90,sprint_count_p90,sprint_count_p30tip,sprint_count_p30otip,psv99,psv99_top5,distance_p90_m60,running_distance_p90_m60,m_per_min_m60,hi_distance_p90_m60,hi_count_p90_m60,hsr_distance_p90_m60,high_accel_p90_m60,sprint_distance_p90_m60,sprint_count_p90_m60,psv99_m60,identidade
2022,Brusque,Cai,0,0,-28,1,Zé Mateus,RCMF,Meia,27.0,23801,José Mateus Junior,Zé Mateus,385286,1995-01-18,1793.0,23.0,47.6,22,77.2,1698,0,1,1,1,2,,,,85.0,0,9490.83,1237.58,105.45,132.71,147.44,681.32,61.42,497.38,7.95,310.38,490.96,183.94,9.64,3.91,6.83,29.01,30.64,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Álvaro,AMF,Meia,29.0,172998,Álvaro Rodrigues Vieira Júnior,Álvaro,300109,1993-07-19,1394.0,22.0,37.0,21,64.5,1356,0,1,1,0,,,,,85.0,0,9845.3,1416.81,109.39,144.15,148.59,654.79,59.42,530.63,7.5,441.13,333.46,124.16,8.1,4.94,3.79,27.57,28.98,,,,,,,,,,,nome_colide
2022,Brusque,Cai,0,0,-28,1,Jaílson,RAMF,Meia,29.0,172999,Edjailson Nascimento da Silva,Jaílson,420246,1992-10-09,1122.0,27.0,29.8,26,42.2,1098,0,1,1,0,,,,,85.0,0,10712.28,1766.25,119.03,157.79,157.86,929.4,75.59,740.36,7.54,582.21,513.22,189.05,10.9,6.53,4.63,27.67,30.76,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Diego Jardel,AMF,Meia,32.0,177439,Diego Jardel Koester,Diego Jardel,146480,1989-12-26,960.0,17.0,25.5,17,56.5,961,0,1,1,0,,,,,85.0,0,10334.4,1475.77,114.83,149.5,152.03,553.28,46.65,444.52,6.65,338.04,277.41,108.76,5.06,2.61,1.68,26.54,28.54,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Paulo Baya,LAMF,Meia,23.0,151335,Paulo Henrique Silva Ribeiro,Paulo Baya,653818,1999-07-26,733.0,18.0,19.5,17,42.6,725,0,1,0,0,,,,,85.0,0,10346.53,1525.12,114.96,149.9,147.68,1020.14,92.85,735.25,9.31,619.43,514.24,284.89,17.01,10.31,8.0,29.95,32.02,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Gabriel Taliari,AMF,Meia,25.0,177390,Gabriel Pereira Taliari,Gabriel Taliari,425999,1997-04-13,587.0,16.0,15.6,15,38.4,575,0,1,0,0,,,,,85.0,0,10493.0,1609.62,116.59,156.71,160.81,680.63,55.68,555.83,5.16,396.86,415.24,124.8,7.35,3.74,3.59,26.27,28.36,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Marco Antônio,LAMF,Meia,31.0,177479,Marco Antônio Militão Júnior,Marco Antônio,46494,1991-01-22,14.0,1.0,0.4,1,14.2,14,1,1,0,0,,,,,85.0,0,9996.96,1707.26,111.08,,143.0,537.47,37.94,512.18,6.32,,262.5,25.29,0.0,,7.5,24.7,24.7,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Rodolfo Potiguar,RDMF,Volante,34.0,172992,Gerson Rodolfo da Silva,Rodolfo Potiguar,49438,1988-01-24,3034.0,32.0,80.5,31,94.8,2940,0,1,1,1,1,,,,85.0,0,9348.84,1070.73,103.88,125.47,152.05,432.17,36.88,333.45,4.32,131.47,372.23,98.71,4.62,1.04,3.2,28.72,31.5,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Wagner Balotelli,LDMF,Volante,30.0,172994,Wagner Pereira Marques,Wagner Balotelli,657342,1992-09-01,1883.0,29.0,50.0,28,66.7,1868,0,1,1,1,2,,,,85.0,0,10395.03,1477.48,115.5,144.79,164.22,655.88,58.02,503.75,5.06,264.9,498.08,152.13,8.24,2.9,5.86,28.15,30.48,,,,,,,,,,,
2022,Brusque,Cai,0,0,-28,1,Matheus Trindade,RDMF,Volante,26.0,172996,Matheus Trindade Gonçalves,Matheus Trindade,476897,1996-03-05,1334.0,24.0,35.4,23,57.4,1320,0,1,1,0,,,,,85.0,0,10489.59,1623.5,116.55,146.24,159.23,500.18,41.78,427.38,4.43,215.45,348.95,72.8,4.09,1.14,2.5,26.3,28.58,,,,,,,,,,,
