treinador,clube,id_clube,funcao,interino,inicio,fim,em_curso,dias,jogos_tm,ppj_tm
Marcelo Chamusca,Botafogo FC,9030,Treinador,0,2023-06-30,2023-11-22,0,145,23,1.13
José Leão,Botafogo FC,9030,Treinador interino,1,2023-11-23,2023-11-27,0,4,1,0.00
Paulo Gomes,Botafogo FC,9030,Treinador,0,2023-12-07,2024-10-01,0,299,44,1.16
Márcio Zanardi,Botafogo FC,9030,Treinador,0,2024-10-03,2025-05-18,0,227,30,0.97
Allan Aal,Botafogo FC,9030,Treinador,0,2025-05-20,2025-10-06,0,139,22,1.09
Régis Angeli,Botafogo FC,9030,Treinador,0,2025-07-08,,1,,0,-
Claudio Tencati,Botafogo FC,9030,Treinador,0,2025-11-24,,1,,35,1.17
Felipe Conceição,Botafogo FR,537,Treinador,0,2018-01-01,2018-02-10,0,40,7,1.29
Alberto Valentim,Botafogo FR,537,Treinador,0,2018-02-12,2018-06-19,0,127,25,1.60
Marcos Paquetá,Botafogo FR,537,Treinador,0,2018-06-26,2018-08-01,0,36,4,0.75
Bruno Lazaroni,Botafogo FR,537,Treinador interino,1,2018-08-02,2018-08-06,0,4,1,1.00
Zé Ricardo,Botafogo FR,537,Treinador,0,2018-08-06,2019-04-12,0,249,39,1.46
Eduardo Barroca,Botafogo FR,537,Treinador,0,2019-04-14,2019-10-07,0,176,27,1.22
Bruno Lazaroni,Botafogo FR,537,Treinador interino,1,2019-10-08,2019-10-15,0,7,2,1.50
Alberto Valentim,Botafogo FR,537,Treinador,0,2019-10-15,2020-02-10,0,118,18,1.28
Paulo Autuori,Botafogo FR,537,Treinador,0,2020-02-12,2020-10-01,0,232,23,1.43
Bruno Lazaroni,Botafogo FR,537,Treinador,0,2020-10-01,2020-10-29,0,28,6,1.33
Flávio Tenius,Botafogo FR,537,Treinador interino,1,2020-10-30,2020-11-10,0,11,3,0.67
Emiliano Díaz,Botafogo FR,537,Treinador interino,1,2020-11-09,2020-11-27,0,18,3,0.00
Felipe Lucena,Botafogo FR,537,Treinador interino,1,2020-12-04,2020-12-11,0,7,2,0.00
Eduardo Barroca,Botafogo FR,537,Treinador,0,2020-12-11,2021-02-06,0,57,10,0.40
Lúcio Flávio,Botafogo FR,537,Treinador interino,1,2021-02-07,2021-02-27,0,20,4,0.75
Marcelo Chamusca,Botafogo FR,537,Treinador,0,2021-03-09,2021-07-13,0,126,25,1.24
Ricardo Resende,Botafogo FR,537,Treinador interino,1,2021-07-16,2022-03-27,0,254,10,1.30
Enderson Moreira,Botafogo FR,537,Treinador,0,2021-07-23,2022-02-11,0,203,31,2.16
Luís Castro,Botafogo FR,537,Treinador,0,2022-03-29,2023-06-30,0,458,81,1.70
Cláudio Caçapa,Botafogo FR,537,Treinador interino,1,2023-07-01,2023-07-17,0,16,4,3.00
Bruno Lage,Botafogo FR,537,Treinador,0,2023-07-18,2023-10-04,0,78,15,1.27
