chave,kt,jogador,clube,liga,pos11,setor,tipo,psv99,psv99,sprint_count_p90,hi_count_p90,expl_accel_sprint_p90,distance_p90,runs_p30tip,tipo_pref
ze hugo,,Zé Hugo,Botafogo-SP,Série B,ED,Extremo,Baixa intensidade,29.9,29.9,12.1,69.71,1.94,9251.42,25.56,False
marcelo hermes,,Marcelo Hermes,Criciúma,Série B,LE,Lateral,Médio em tudo,29.2,29.2,11.1,64.84,1.83,10102.7,26.06,False
rafael ramos,,Rafael Ramos,Ceará,Série B,LD,Lateral,Explosivo e rápido,29.73,29.73,13.55,71.76,2.39,9685.9,25.03,True
agustin arce,universidad de chile,Agustín Arce,Universidad de Chile,Chile,MED,Meia,Médio em tudo,27.03,27.03,7.3,60.4,1.2,10659.03,31.9,True
g de los santos,defensor sporting,G. de los Santos,Defensor Sporting,Uruguai,ZE,Zaga,Motor de volume,29.7,29.7,5.69,36.65,0.38,8880.58,4.8,True
d sanchez,galatasaray,D. Sánchez,Galatasaray,Turquia,ZD,Zaga,Explosivo e rápido,30.03,30.03,10.36,54.58,1.94,9033.2,,False
erik,al ain,Erik,Al Ain,Emirados,LE,Lateral,Explosivo e rápido,29.96,29.96,14.88,77.49,2.02,9843.28,,True
n rodriguez,concepcion,N. Rodríguez,Concepción,Chile,ZD,Zaga,Baixa intensidade,29.5,29.5,5.72,37.35,0.79,8350.71,5.7,False
j sornoza,independiente del valle,J. Sornoza,Independiente del Valle,Equador A,MED,Meia,Baixa intensidade,25.15,25.15,1.53,24.37,0.0,9592.38,17.2,False
ewerthon,,Ewerthon,Atlético-GO,Série B,LD,Lateral,Baixa intensidade,30.0,30.0,9.74,54.54,1.38,9123.03,21.54,False
a benitez,club libertad,A. Benítez,Club Libertad,Paraguai,LD,Lateral,Explosivo e rápido,30.86,30.86,15.9,83.54,3.64,10159.46,59.0,True
n lopez,progreso,N. Lopez,Progreso,Uruguai,EE,Extremo,Motor de volume,28.77,28.77,11.03,68.82,2.42,9998.63,29.9,False
a morelos,atletico nacional,A. Morelos,Atlético Nacional,Colombia A,CA,Atacante,Baixa intensidade,28.2,28.2,6.81,44.34,2.08,8438.12,41.5,False
s valencia,nublense,S. Valencia,Ñublense,Chile,ZE,Zaga,Motor de volume,30.27,30.27,6.08,38.87,0.94,8756.79,4.8,True
j betancourt,fc cajamarca,J. Betancourt,FC Cajamarca,Peru,EE,Extremo,Baixa intensidade,29.79,29.79,8.26,47.15,1.82,7254.01,25.7,False
f alvarez,racing,F. Álvarez,Racing,Uruguai,ZE,Zaga,Motor de volume,28.93,28.93,6.89,41.99,0.64,8749.58,3.8,True
g cortez,libertad,G. Cortéz,Libertad,Equador A,CA,Atacante,Baixa intensidade,27.72,27.72,6.34,41.22,0.58,8935.67,27.7,False
a valera,universitario,A. Valera,Universitario,Peru,CA,Atacante,Explosivo e rápido,30.65,30.65,11.73,61.12,2.2,8727.11,37.3,False
r tapia,al wasl,R. Tapia,Al Wasl,Emirados,VOL,Volante,Intermediário,27.27,27.27,6.16,42.52,0.53,9204.51,,True
m carabajal,independiente del valle,M. Carabajal,Independiente del Valle,Equador A,ZD,Zaga,Baixa intensidade,28.2,28.2,3.74,28.71,0.79,8126.79,4.9,False
l fragozo,emelec,L. Fragozo,Emelec,Equador A,EE,Extremo,Baixa intensidade,30.21,30.21,11.38,64.76,1.57,8820.04,35.5,False
l berdugo,cucuta deportivo,L. Berdugo,Cúcuta Deportivo,Colombia A,MEI,Meia,Médio em tudo,27.27,27.27,5.93,45.66,0.97,9705.42,47.8,True
m segovia,,M. Segovia,América-MG,Série B,ED,Extremo,Motor de volume,28.58,28.58,14.27,84.37,1.44,10852.85,43.04,False
f arancibia,deportivo garcilaso,F. Arancibia,Deportivo Garcilaso,Peru,ED,Extremo,Baixa intensidade,29.4,29.4,9.41,55.3,1.86,8228.58,27.9,False
m gonzales vigil,melgar,M. Gonzales Vigil,Melgar,Peru,LE,Lateral,Explosivo e rápido,29.33,29.33,11.12,65.65,1.9,9480.32,29.3,True
m perea,mushuc runa,M. Perea,Mushuc Runa,Equador A,LE,Lateral,Explosivo e rápido,31.45,31.45,12.29,61.49,3.34,8603.59,25.4,True
e castillo,alianza lima,E. Castillo,Alianza Lima,Peru,CA,Atacante,Explosivo e rápido,31.26,31.26,12.11,65.07,3.33,8502.64,36.3,False
c fara,universitario,C. Fara,Universitario,Peru,ZD,Zaga,Baixa intensidade,28.06,28.06,4.22,29.54,0.94,8249.88,7.7,False
jota,,Jota,Athletic,Série B,MED,Meia,Explosivo e rápido,27.7,27.7,8.4,61.54,1.4,11135.42,38.02,False
j fernandez,rosario central,J. Fernández,Rosario Central,Argentina A,ED,Extremo,Motor de volume,28.19,28.19,10.02,65.83,0.93,10117.51,40.9,False
r lutiger,sporting cristal,R. Lutiger,Sporting Cristal,Peru,ZE,Zaga,Motor de volume,28.08,28.08,5.83,37.89,0.58,8904.58,5.4,True
matias fracchia,cerro largo,Matías Fracchia,Cerro Largo,Uruguai,ZE,Zaga,Baixa intensidade,28.41,28.41,4.66,33.65,0.52,8911.93,4.3,False
t veron lupi,nacional,T. Verón Lupi,Nacional,Uruguai,ED,Extremo,Motor de volume,27.49,27.49,9.75,77.6,1.18,10825.08,33.9,False
c yanis,cobresal,C. Yanis,Cobresal,Chile,MED,Meia,Explosivo e rápido,27.58,27.58,8.76,63.02,0.97,10549.62,58.4,False
m ruidias,cusco,M. Ruidías,Cusco,Peru,LD,Lateral,Médio em tudo,27.02,27.02,5.87,46.07,0.68,9981.74,23.4,False
filipe machado,,Filipe Machado,Goiás,Série B,VOL,Volante,Menos intenso,26.88,26.88,3.12,30.67,0.44,9613.7,20.5,False
n lujan,sport huancayo,N. Luján,Sport Huancayo,Peru,EE,Extremo,Baixa intensidade,27.8,27.8,6.3,48.5,0.98,8940.89,38.6,False
r caseres,union la calera,R. Cáseres,Unión La Calera,Chile,ZD,Zaga,Motor de volume,28.33,28.33,7.05,46.36,1.05,9276.83,10.8,True
lucas pimenta,al wahda,Lucas Pimenta,Al Wahda,Emirados,ZD,Zaga,Explosivo e rápido,29.88,29.88,7.14,42.65,1.17,8982.27,,False
a leguizamon,emelec,A. Leguizamón,Emelec,Equador A,ZD,Zaga,Baixa intensidade,28.28,28.28,3.62,30.7,0.83,8325.61,3.5,False
bruno nazario,henan,Bruno Nazário,Henan,China,MEI,Meia,Médio em tudo,27.45,27.45,8.34,60.68,0.68,9674.23,,True
a estupinan,millonarios,A. Estupiñán,Millonarios,Colombia A,CA,Atacante,Baixa intensidade,28.65,28.65,7.52,48.3,1.39,8567.41,33.0,False
s portocarrero,leones del norte,S. Portocarrero,Leones del Norte,Equador A,LE,Lateral,Baixa intensidade,30.42,30.42,10.61,54.53,1.49,9026.29,18.2,False
p pernicone,juventud,P. Pernicone,Juventud,Uruguai,ZD,Zaga,Baixa intensidade,27.71,27.71,5.4,36.49,1.7,8482.37,2.5,False
rodrigo,,Rodrigo,Criciúma,Série B,ZD,Zaga,Motor de volume,29.53,29.53,6.63,42.38,0.98,8802.89,5.14,True
m zaldivia,universidad de chile,M. Zaldivia,Universidad de Chile,Chile,ZE,Zaga,Baixa intensidade,26.77,26.77,3.54,30.88,0.39,8903.89,6.5,False
l quintana,cerro porteno,L. Quintana,Cerro Porteño,Paraguai,ZD,Zaga,Explosivo e rápido,29.13,29.13,7.49,43.38,1.23,8755.68,7.1,False
mikael doka,,Mikael Doka,Operário-PR,Série B,LD,Lateral,Baixa intensidade,29.78,29.78,11.18,61.62,1.82,9268.94,25.74,False
e quinonez,aucas,E. Quiñónez,Aucas,Equador A,LE,Lateral,Médio em tudo,29.24,29.24,9.36,59.28,1.23,9428.85,28.1,False
enzo cabrera,danubio,Enzo Cabrera,Danubio,Uruguai,ED,Extremo,Motor de volume,29.65,29.65,13.1,70.76,1.29,9543.2,41.9,False
kadu,,Kadu,Goiás,Série B,EE,Extremo,Explosivo e rápido,30.73,30.73,14.36,76.63,1.68,10022.93,38.23,True
lucas gazal,,Lucas Gazal,Fortaleza,Série B,ZE,Zaga,Baixa intensidade,27.68,27.68,3.24,24.52,0.27,8446.63,4.65,False
reinaldo,chaves,Reinaldo,Chaves,Portugal B,EE,Extremo,Explosivo e rápido,30.39,30.39,16.95,89.32,3.89,10240.1,,True
j quinones,deportivo pasto,J. Quiñónes,Deportivo Pasto,Colombia A,ZD,Zaga,Baixa intensidade,28.31,28.31,3.84,26.63,0.45,7597.05,2.7,False
lucas maia,henan,Lucas Maia,Henan,China,ZE,Zaga,Motor de volume,27.62,27.62,5.6,38.67,0.51,8915.62,,True
i segovia,guarani,I. Segovia,Guaraní,Paraguai,ZD,Zaga,Baixa intensidade,29.52,29.52,4.19,28.3,0.29,8539.12,5.3,False
j arias,millonarios,J. Arias,Millonarios,Colombia A,ZE,Zaga,Baixa intensidade,28.37,28.37,5.43,36.81,0.48,8289.23,7.9,False
willyan rocha,al jazira,Willyan Rocha,Al Jazira,Emirados,ZD,Zaga,Baixa intensidade,27.86,27.86,4.36,32.57,0.57,8258.28,,False
joaquin sosa,colo colo,Joaquín Sosa,Colo Colo,Chile,ZE,Zaga,Explosivo e rápido,29.48,29.48,9.57,54.97,1.3,9189.83,14.4,False
j laso,tigre,J. Laso,Tigre,Argentina A,ZD,Zaga,Baixa intensidade,29.03,29.03,4.82,34.1,0.41,8529.48,5.9,False
andrea falabella,sportivo ameliano,Andrea Falabella,Sportivo Ameliano,Paraguai,ZE,Zaga,Motor de volume,28.41,28.41,5.35,35.53,0.64,8980.22,6.1,True
l rivero,river plate,L. Rivero,River Plate,Argentina A,ZE,Zaga,Motor de volume,28.69,28.69,6.69,42.11,1.03,9055.83,8.0,True
pepe,,Pepê,Cuiabá,Série B,MED,Meia,Médio em tudo,26.57,26.57,5.49,50.25,0.34,10992.12,36.31,True
jermein pena,junior,Jermein Peña,Junior,Colombia A,ZD,Zaga,Baixa intensidade,28.75,28.75,5.39,34.12,0.99,8238.69,7.1,False
r piris da motta,cerro porteno,R. Piris Da Motta,Cerro Porteño,Paraguai,VOL,Volante,Intermediário,28.09,28.09,6.91,51.45,1.15,9654.53,21.4,True
a alcaraz,olimpia,A. Alcaraz,Olimpia,Paraguai,CA,Atacante,Explosivo e rápido,29.6,29.6,11.16,63.77,1.69,9215.21,29.1,False
d romero,independiente del valle,D. Romero,Independiente del Valle,Equador A,LD,Lateral,Explosivo e rápido,30.21,30.21,10.3,60.18,1.96,9445.2,25.2,True
rayan lucas,sporting cp ii,Rayan Lucas,Sporting CP II,Portugal B,MED,Meia,Baixa intensidade,26.73,26.73,4.22,45.34,0.37,10215.53,,False
m gomez,nacional,M. Gómez,Nacional,Uruguai,CA,Atacante,Baixa intensidade,29.18,29.18,6.34,44.65,0.83,8494.85,29.0,False
f romero,farense,F. Romero,Farense,Portugal B,ZD,Zaga,Baixa intensidade,25.88,25.88,2.63,25.23,0.0,8940.79,9.5,False
m amondarain,cienciano,M. Amondarain,Cienciano,Peru,ZD,Zaga,Motor de volume,29.29,29.29,6.34,37.62,0.97,8295.85,6.3,True
f ortega,olympiacos piraeus,F. Ortega,Olympiacos Piraeus,Grecia,LE,Lateral,Explosivo e rápido,29.54,29.54,12.6,68.98,1.48,9221.77,,True
henri,,Henri,CRB,Série B,ZD,Zaga,Baixa intensidade,28.7,28.7,4.37,30.71,0.69,9201.59,8.86,False
bruno ramos,sporting cp ii,Bruno Ramos,Sporting CP II,Portugal B,ZD,Zaga,Explosivo e rápido,29.82,29.82,7.94,48.74,0.99,9577.65,,False
renzo malanca,huachipato, Renzo Malanca,Huachipato,Chile,ZE,Zaga,Explosivo e rápido,29.59,29.59,8.48,50.88,1.47,9471.99,8.7,False
a cardozo lucena,nacional asuncion,Á. Cardozo Lucena,Nacional Asunción,Paraguai,VOL,Volante,Menos intenso,25.78,25.78,2.15,30.17,0.05,10048.51,20.9,False
k becerra,cienciano,K. Becerra,Cienciano,Peru,ZE,Zaga,Baixa intensidade,29.18,29.18,5.51,32.16,1.05,7979.41,1.7,False
augusto,,Augusto,São Bernardo,Série B,ZE,Zaga,Baixa intensidade,27.75,27.75,2.87,23.12,0.18,7883.43,2.98,False
gabriel vareta,al wasl,Gabriel Vareta,Al Wasl,Emirados,ZE,Zaga,Motor de volume,28.58,28.58,6.15,38.8,0.71,8777.48,,True
f chaverra,millonarios,F. Chaverra,Millonarios,Colombia A,LE,Lateral,Baixa intensidade,29.49,29.49,10.12,56.78,1.7,8754.55,26.6,False
a quiroz,universitario,A. Quiroz,Universitario,Peru,MED,Meia,Médio em tudo,29.58,29.58,7.51,52.78,0.97,9199.31,39.2,True
a medina,everton,A. Medina,Everton,Chile,MEI,Meia,Explosivo e rápido,27.85,27.85,9.68,66.53,1.03,10476.5,45.7,False
l monzon,deportivo recoleta,L. Monzón,Deportivo Recoleta,Paraguai,ZE,Zaga,Motor de volume,28.74,28.74,5.62,36.26,0.96,8672.02,5.5,True
p siles,torque,P. Siles,Torque,Uruguai,VOL,Volante,Menos intenso,25.32,25.32,2.65,32.11,0.13,10012.12,20.6,False
mateus sarara,portimonense,Mateus Sarará,Portimonense,Portugal B,ZD,Zaga,Motor de volume,28.12,28.12,5.82,38.5,1.0,8412.83,,True
werton,leixoes,Werton,Leixões,Portugal B,EE,Extremo,Explosivo e rápido,29.83,29.83,13.19,75.65,2.41,9388.1,,True
m uribe,atletico nacional,M. Uribe,Atlético Nacional,Colombia A,VOL,Volante,Mais intenso,27.42,27.42,7.01,54.16,0.65,9990.46,30.3,True
diogo barbosa,,Diogo Barbosa,Juventude,Série B,LE,Lateral,Explosivo e rápido,29.94,29.94,12.97,68.98,1.97,9729.13,33.47,True
j baez,barcelona,J. Báez,Barcelona,Equador A,ZD,Zaga,Baixa intensidade,27.92,27.92,2.69,22.36,0.37,7928.09,3.9,False
a sanchez,juan pablo ii college,A. Sánchez,Juan Pablo II College,Peru,ZE,Zaga,Baixa intensidade,28.34,28.34,6.2,36.31,1.79,7702.28,3.3,False
a manzur,club libertad,A. Manzur,Club Libertad,Paraguai,MED,Meia,Baixa intensidade,25.08,25.08,1.86,32.41,0.37,9427.12,21.2,False
m di cesare,racing club,M. Di Cesare,Racing Club,Argentina A,ZD,Zaga,Motor de volume,28.27,28.27,6.12,40.08,1.51,8853.38,6.0,True
k velasco,mushuc runa,K. Velasco,Mushuc Runa,Equador A,EE,Extremo,Baixa intensidade,29.9,29.9,9.31,56.59,1.86,8558.81,33.7,False
c aranguiz,universidad de chile,C. Aránguiz,Universidad de Chile,Chile,MED,Meia,Médio em tudo,25.95,25.95,5.13,59.02,0.0,10803.55,31.1,True
a sarmiento,atletico nacional,A. Sarmiento,Atlético Nacional,Colombia A,EE,Extremo,Baixa intensidade,30.11,30.11,12.02,66.09,2.88,8717.57,31.5,False
luis caceres,sportivo san lorenzo,Luis Cáceres,Sportivo San Lorenzo,Paraguai,ZD,Zaga,Motor de volume,28.53,28.53,6.27,39.44,0.74,9025.11,5.0,True
f vera,sportivo ameliano,F. Vera,Sportivo Ameliano,Paraguai,ED,Extremo,Baixa intensidade,28.72,28.72,13.05,77.69,1.89,9565.74,30.2,False
j montecinos,concepcion,J. Montecinos,Concepción,Chile,ED,Extremo,Baixa intensidade,29.46,29.46,12.15,69.96,2.85,9857.73,30.4,False
r lezcano,olimpia,R. Lezcano,Olimpia,Paraguai,ED,Extremo,Motor de volume,27.21,27.21,8.9,63.87,1.08,10369.12,29.6,False
s guzman,tolima,S. Guzmán,Tolima,Colombia A,MED,Meia,Baixa intensidade,27.53,27.53,5.08,45.91,0.36,9492.49,27.3,False
marquinhos gabriel,,Marquinhos Gabriel,Vila Nova,Série B,MEI,Meia,Baixa intensidade,27.2,27.2,6.31,50.2,0.39,9490.26,32.39,False
l loor,independiente del valle,L. Loor,Independiente del Valle,Equador A,LE,Lateral,Explosivo e rápido,29.62,29.62,13.45,71.41,1.93,9596.09,28.1,True
andre luiz,,André Luiz,Londrina,Série B,VOL,Volante,Intermediário,27.52,27.52,6.35,48.0,0.68,9818.47,17.25,True
j klinger,macara,J. Klinger,Macará,Equador A,EE,Extremo,Explosivo e rápido,31.03,31.03,15.61,80.53,4.38,9410.06,32.9,True
m klimowicz,cerro porteno,M. Klimowicz,Cerro Porteño,Paraguai,EE,Extremo,Motor de volume,27.84,27.84,9.12,60.42,1.18,9958.37,37.5,False
n wunsch,defensor sporting,N. Wunsch,Defensor Sporting,Uruguai,MED,Meia,Explosivo e rápido,28.96,28.96,13.07,79.12,2.56,10923.46,43.4,False
alisson safira,,Alisson Safira,Juventude,Série B,CA,Atacante,Baixa intensidade,28.28,28.28,7.38,51.83,1.16,9584.79,28.43,False
bryan castrillon,junior,Bryan Castrillón,Junior,Colombia A,EE,Extremo,Motor de volume,28.95,28.95,14.52,79.57,2.14,9614.13,52.1,False
n zalazar,aldosivi,N. Zalazar,Aldosivi,Argentina A,ZD,Zaga,Motor de volume,28.29,28.29,5.1,34.94,0.47,9241.97,8.0,True
s hezze,olympiacos piraeus,S. Hezze,Olympiacos Piraeus,Grecia,VOL,Volante,Menos intenso,26.61,26.61,4.95,44.36,0.41,10077.61,,False
s coates,nacional,S. Coates,Nacional,Uruguai,ZD,Zaga,Baixa intensidade,27.03,27.03,2.38,22.06,0.11,7666.97,1.9,False
m anasco,cerro largo,M. Añasco,Cerro Largo,Uruguai,EE,Extremo,Explosivo e rápido,30.05,30.05,14.32,86.93,1.83,10009.09,28.5,True
j vidales,melgar,J. Vidales,Melgar,Peru,CA,Atacante,Explosivo e rápido,30.06,30.06,12.96,69.5,2.46,9304.43,38.2,False
reginaldo,,Reginaldo,Náutico,Série B,LD,Lateral,Explosivo e rápido,29.55,29.55,12.77,70.29,2.35,9103.21,33.54,True
a mena,aucas,A. Mena,Aucas,Equador A,MED,Meia,Médio em tudo,26.45,26.45,4.07,44.72,0.52,10090.04,41.9,True
m miljevic,racing club,M. Miljevic,Racing Club,Argentina A,MED,Meia,Baixa intensidade,27.6,27.6,5.55,46.5,0.52,9440.25,32.1,False
m fernandez,independiente rivadavia,M. Fernández,Independiente Rivadavia,Argentina A,CA,Atacante,Explosivo e rápido,29.35,29.35,19.19,102.48,3.17,9940.91,52.5,False
m espindola,deportivo maldonado,M. Espindola,Deportivo Maldonado,Uruguai,MED,Meia,Explosivo e rápido,28.01,28.01,8.76,59.88,1.27,9424.79,36.7,False
r riquelme,talleres cordoba,R. Riquelme,Talleres Córdoba,Argentina A,ZE,Zaga,Motor de volume,27.83,27.83,5.97,45.35,0.42,9710.89,14.0,True
g dulanto,sport boys,G. Dulanto,Sport Boys,Peru,ZE,Zaga,Baixa intensidade,28.18,28.18,4.47,29.11,0.73,7912.68,4.7,False
n fuica,deportivo maldonado,N. Fuica,Deportivo Maldonado,Uruguai,ZD,Zaga,Motor de volume,28.01,28.01,5.68,35.37,0.97,9149.71,4.5,True
diego zabala,liverpool,Diego Zabala,Liverpool,Uruguai,MEI,Meia,Baixa intensidade,27.19,27.19,5.48,49.03,0.29,9804.24,33.2,False
a osella,independiente rivadavia,A. Osella,Independiente Rivadavia,Argentina A,ZE,Zaga,Motor de volume,27.87,27.87,5.25,38.46,0.8,9000.06,13.4,True
romisson,,Romisson,São Bernardo,Série B,VOL,Volante,Mais intenso,29.57,29.57,11.26,67.69,0.98,10467.94,31.9,True
e martinez,gimnasia la plata,E. Martínez,Gimnasia La Plata,Argentina A,ZE,Zaga,Motor de volume,27.49,27.49,4.84,36.29,0.94,9091.95,6.9,True
a maciel,central cordoba sde,A. Maciel,Central Córdoba SdE,Argentina A,ZD,Zaga,Baixa intensidade,28.67,28.67,4.81,32.3,0.73,8534.5,2.8,False
g montiel,river plate,G. Montiel,River Plate,Argentina A,LD,Lateral,Explosivo e rápido,28.72,28.72,13.05,74.68,2.18,9964.64,31.0,True
e matus,audax italiano,E. Matus,Audax Italiano,Chile,LE,Lateral,Explosivo e rápido,30.26,30.26,15.52,84.8,3.1,9712.7,37.0,True
nicolas vargas,huachipato,Nicolás Vargas,Huachipato,Chile,ZE,Zaga,Motor de volume,28.9,28.9,6.64,41.9,1.17,8929.61,10.1,True
r contreras,millonarios,R. Contreras,Millonarios,Colombia A,CA,Atacante,Baixa intensidade,29.43,29.43,9.19,53.65,2.11,8019.49,39.6,False
t gutierrez,nacional asuncion,T. Gutiérrez,Nacional Asunción,Paraguai,ZE,Zaga,Baixa intensidade,27.29,27.29,4.49,32.38,0.62,8701.76,4.6,False
f pizzini,emelec,F. Pizzini,Emelec,Equador A,ED,Extremo,Motor de volume,28.73,28.73,10.85,62.06,0.91,9604.89,38.9,False
fabio lima,al wasl,Fábio Lima,Al Wasl,Emirados,ED,Extremo,Baixa intensidade,26.52,26.52,3.7,35.52,0.35,9198.21,,False
rezende,qingdao west coast,Rezende,Qingdao West Coast,China,ZE,Zaga,Motor de volume,27.62,27.62,5.28,40.45,0.95,9622.01,,True
m pellegrini,velez sarsfield,M. Pellegrini,Vélez Sarsfield,Argentina A,ED,Extremo,Motor de volume,28.39,28.39,14.14,83.73,2.36,10046.56,51.8,False
f charrupi,atletico bucaramanga,F. Charrupí,Atlético Bucaramanga,Colombia A,VOL,Volante,Intermediário,28.0,28.0,6.84,53.1,0.86,9846.76,13.2,True
c airala,albion,C. Airala,Albion,Uruguai,EE,Extremo,Motor de volume,27.87,27.87,9.48,73.29,0.85,10845.23,27.2,False
m miranda,macara,M. Miranda,Macará,Equador A,MED,Meia,Médio em tudo,28.12,28.12,7.78,51.84,0.61,9609.08,34.0,True
m bermudez,orense,M. Bermúdez,Orense,Equador A,CA,Atacante,Motor de volume,29.03,29.03,11.3,63.94,2.13,9207.13,40.2,True
f risso estevez,juventud,F. Risso Estévez,Juventud,Uruguai,ZD,Zaga,Motor de volume,28.36,28.36,6.43,43.17,0.71,8991.37,3.3,True
g cerato,instituto,G. Cerato,Instituto,Argentina A,LD,Lateral,Médio em tudo,28.53,28.53,11.75,65.57,1.48,9778.4,29.4,False
j caicedo,deportivo pasto,J. Caicedo,Deportivo Pasto,Colombia A,VOL,Volante,Mais intenso,27.38,27.38,7.37,57.28,1.06,9953.29,22.4,True
betao,,Betão,Náutico,Série B,ZE,Zaga,Explosivo e rápido,30.26,30.26,11.23,58.32,1.97,9474.83,11.79,False
d ramirez,boyaca chico,D. Ramírez,Boyacá Chicó,Colombia A,ED,Extremo,Baixa intensidade,27.95,27.95,8.62,60.93,0.95,9496.69,23.5,False
b blasi,rubio nu,B. Blasi,Rubio Ñú,Paraguai,ZD,Zaga,Baixa intensidade,27.48,27.48,3.77,30.27,0.14,8711.53,4.5,False
d valdes,velez sarsfield,D. Valdés,Vélez Sarsfield,Argentina A,MEI,Meia,Baixa intensidade,25.86,25.86,3.63,39.02,0.23,9809.15,45.4,False
j pereyra,danubio,J. Pereyra,Danubio,Uruguai,ZD,Zaga,Motor de volume,28.19,28.19,5.66,38.6,0.84,9264.16,6.7,True
ramon menezes,,Ramon Menezes,Goiás,Série B,ZE,Zaga,Baixa intensidade,27.23,27.23,2.99,26.46,0.37,8744.54,9.02,False
agustin rogel,nacional,Agustín Rogel,Nacional,Uruguai,ZD,Zaga,Motor de volume,27.11,27.11,4.33,36.05,0.43,9383.53,6.0,True
a farina,de mayo,A. Fariña,2 de Mayo,Paraguai,MED,Meia,Médio em tudo,27.76,27.76,6.46,58.76,0.44,10760.26,41.6,True
h carroso,progreso,H. Carroso,Progreso,Uruguai,ZE,Zaga,Motor de volume,28.75,28.75,6.67,42.82,0.35,9275.96,5.5,True
e velazquez,danubio,E. Velázquez,Danubio,Uruguai,ZD,Zaga,Baixa intensidade,27.97,27.97,5.18,36.1,0.65,8840.53,3.6,False
f meza,llaneros,F. Meza,Llaneros,Colombia A,ZE,Zaga,Baixa intensidade,27.78,27.78,4.71,32.98,0.63,8538.86,5.8,False
igor fernandes,,Igor Fernandes,Náutico,Série B,LE,Lateral,Médio em tudo,29.14,29.14,10.14,61.04,1.1,9719.77,22.15,False
wesley,al rayyan,Wesley,Al Rayyan,Catar,EE,Extremo,Explosivo e rápido,30.52,30.52,14.66,79.06,2.03,9535.55,,True
s valencia,millonarios,S. Valencia,Millonarios,Colombia A,LE,Lateral,Baixa intensidade,28.86,28.86,7.9,51.96,2.35,9210.37,26.3,False
l quinonez,ldu quito,L. Quiñónez,LDU Quito,Equador A,ZE,Zaga,Motor de volume,28.56,28.56,6.01,40.57,1.12,8812.64,19.1,True
b cuesta,melgar,B. Cuesta,Melgar,Peru,CA,Atacante,Motor de volume,28.48,28.48,8.67,52.54,1.09,9164.67,41.6,True
s palacios,levadiakos,S. Palacios,Levadiakos,Grecia,ED,Extremo,Explosivo e rápido,30.0,30.0,14.72,80.08,2.08,9693.77,37.1,True
r ramirez,nacional asuncion,R. Ramírez,Nacional Asunción,Paraguai,VOL,Volante,Intermediário,28.36,28.36,8.45,60.64,1.27,10051.73,10.5,True
matias arezo,penarol,Matías Arezo,Peñarol,Uruguai,CA,Atacante,Explosivo e rápido,29.47,29.47,11.77,67.1,1.79,9025.67,39.1,False
cesar martins,,César Martins,Criciúma,Série B,ZD,Zaga,Explosivo e rápido,31.32,31.32,11.78,59.85,2.0,9463.33,12.33,False
j rengifo,atletico nacional,J. Rengifo,Atlético Nacional,Colombia A,MEI,Meia,Explosivo e rápido,27.55,27.55,7.76,58.3,0.95,10648.83,49.1,False
yuri matias,ajman,Yuri Matias,Ajman,Emirados,ZE,Zaga,Baixa intensidade,28.78,28.78,3.72,25.55,0.65,7803.84,,False
h riojas,sport boys,H. Riojas,Sport Boys,Peru,ZE,Zaga,Baixa intensidade,27.35,27.35,4.58,34.08,0.87,8508.02,8.6,False
bressan,,Bressan,CRB,Série B,ZD,Zaga,Motor de volume,27.22,27.22,4.84,36.75,0.39,9681.81,10.48,True
d zalazar,banfield,D. Zalazar,Banfield,Argentina A,ED,Extremo,Motor de volume,28.86,28.86,9.8,62.81,1.61,9859.05,37.9,False
r tapia,atletico grau,R. Tapia,Atlético Grau,Peru,ZD,Zaga,Motor de volume,28.35,28.35,5.29,36.14,1.22,8631.16,9.2,True
joao muniz,sporting cp ii,João Muniz,Sporting CP II,Portugal B,ZE,Zaga,Baixa intensidade,27.67,27.67,3.53,27.22,0.39,8157.96,,False
boschilia,,Boschilia,Operário-PR,Série B,MEI,Meia,Baixa intensidade,27.68,27.68,4.05,39.11,0.64,9539.09,29.95,False
d sanhueza,nublense,D. Sanhueza,Ñublense,Chile,LD,Lateral,Médio em tudo,28.76,28.76,10.63,67.48,1.53,10413.63,32.1,False
f tealde,deportivo maldonado,F. Tealde,Deportivo Maldonado,Uruguai,ZE,Zaga,Baixa intensidade,27.2,27.2,3.22,31.13,0.23,9028.22,5.0,False
m pisano,deportivo pasto,M. Pisano,Deportivo Pasto,Colombia A,MEI,Meia,Baixa intensidade,27.25,27.25,4.57,39.23,0.36,9605.32,47.4,False
j manzaneda,cusco,J. Manzaneda,Cusco,Peru,EE,Extremo,Motor de volume,27.87,27.87,9.08,61.28,0.95,9717.33,37.9,False
v de marco,panserraikos,V. De Marco,Panserraikos,Grecia,ZE,Zaga,Baixa intensidade,27.27,27.27,3.91,31.57,0.48,9139.81,,False
fabio alemao,,Fabio Alemão,CRB,Série B,ZE,Zaga,Motor de volume,28.37,28.37,4.64,34.2,0.4,9374.42,9.99,True
adriano martins,,Adriano Martins,Atlético-GO,Série B,ZE,Zaga,Motor de volume,28.55,28.55,6.35,38.54,0.36,9018.23,6.8,True
