ano,clube,psv_min_kmh,psv_max_kmh,psv_amp_kmh,psv_media_kmh,mais_lento,mais_lento_setor,pontos,pos,faixa,rendimento,ppj,log_valor,dist_g4
2024,Operário-PR,27.18,29.78,2.6000000000000014,28.799,Vinicius Diniz,Volante,55,8,Meio,0.16606984111002765,1.4864864864864864,16.33723118087499,-9
2024,Paysandu,26.13,30.1,3.9700000000000024,28.565000000000005,Leandro Vilela,Meia,50,12,Meio,-0.03216267359260172,1.3157894736842106,16.441989105372674,-14
2024,Ponte Preta,25.59,30.58,4.989999999999998,28.439999999999998,Élvis,Atacante,38,17,Cai,-0.20002465159252303,1.0,15.879203742675971,-26
2024,Santos,26.12,31.38,5.259999999999998,28.79,Giuliano,Meia,68,1,Sobe,0.03842289319675163,1.7894736842105263,17.97556483021441,4
2024,Sport,26.17,30.61,4.439999999999998,28.759000000000004,C. Ortiz,Atacante,66,3,Sobe,0.2793206962410859,1.736842105263158,16.858841810317543,2
2024,Vila Nova,27.59,30.98,3.3900000000000006,28.909,J. Quintero,Zaga,55,9,Meio,0.1349905938984619,1.4473684210526316,16.306647757502912,-9
2025,Amazonas,26.69,29.97,3.2799999999999976,28.249000000000002,Rafael Tavares,Atacante,36,18,Cai,-0.43849531608121006,0.9473684210526315,16.586222520191196,-26
2025,América-MG,26.62,30.2,3.5799999999999983,28.649,Cauan Barros,Meia,46,14,Meio,-0.2729286899575676,1.2105263157894737,16.957505338496517,-16
2025,Athletic,26.97,32.6,5.630000000000003,29.314999999999998,Sandry,Volante,44,15,Meio,-0.25515217038773663,1.1578947368421053,16.689640009759017,-18
2025,Athletico-PR,26.62,31.86,5.239999999999998,29.351,Alan Kardec,Atacante,65,2,Sobe,0.02205482936045411,1.7105263157894737,17.73748389424559,3
2025,Atlético-GO,27.76,31.74,3.979999999999997,29.325,Kauan,Meia,52,11,Meio,-0.17129172835880957,1.368421052631579,17.171536220979707,-10
2025,Avaí,27.24,31.13,3.8900000000000006,29.192999999999994,Marquinhos Gabriel,Extremo,56,8,Meio,0.13789190342337299,1.4736842105263157,16.3957273875566,-6
2025,Botafogo-SP,26.4,30.04,3.6400000000000006,28.641000000000002,Gabriel Bispo,Volante,42,16,Meio,-0.16081920676051564,1.105263157894737,16.130518170956876,-20
2025,CRB,27.0,30.64,3.6400000000000006,28.726999999999997,Gegé,Meia,56,9,Meio,0.026058706010148702,1.4736842105263157,16.821193162371433,-6
2025,Chapecoense,27.35,29.88,2.5299999999999976,28.608000000000004,Bruno Matias,Meia,62,3,Sobe,0.3687618280363034,1.631578947368421,16.11809565095832,0
2025,Coritiba,26.41,30.53,4.120000000000001,28.323,Filipe Machado,Volante,68,1,Sobe,0.3020744628088641,1.7894736842105263,16.972510979114386,6
2025,Criciúma,26.34,30.76,4.420000000000002,28.573,Nicolas,Atacante,61,5,Meio,0.16389233609701992,1.605263157894737,16.79739742469621,-1
2025,Cuiabá,27.03,30.98,3.9499999999999993,28.991000000000003,Patrick De Lucca,Meia,54,10,Meio,-0.047812121412182496,1.4210526315789473,16.90199719478673,-8
2025,Ferroviária,26.13,31.18,5.050000000000001,28.90500000000001,Ricardinho,Volante,40,17,Cai,-0.1029515506356915,1.0526315789473684,15.710127412632037,-22
2025,Goiás,26.8,31.43,4.629999999999999,29.326,Anselmo Ramon,Atacante,61,6,Meio,0.18432141977477623,1.605263157894737,16.719675637992776,-1
2025,Novorizontino,26.9,30.81,3.91,28.753000000000004,Matheus Frizzo,Meia,60,7,Meio,0.23969321997361304,1.5789473684210527,16.408897850746346,-2
2025,Operário-PR,26.27,30.24,3.969999999999999,28.55,Boschilia,Atacante,48,12,Meio,-0.16974957944782654,1.263157894736842,16.76519889301686,-14
2025,Paysandu,26.37,32.46,6.09,28.922999999999995,Leandro Vilela,Volante,28,20,Cai,-0.6162871790296546,0.7368421052631579,16.461685355348397,-34
2025,Remo,26.08,30.33,4.25,28.567999999999994,Giovanni Pavani,Meia,62,4,Sobe,0.10143384811159062,1.631578947368421,17.135136285932617,0
2025,Vila Nova,27.3,29.96,2.66,28.520000000000003,Jean Mota,Meia,47,13,Meio,-0.05517595873139092,1.236842105263158,16.229189698463905,-15
2025,Volta Redonda,27.12,29.95,2.8299999999999983,28.671,Raí,Extremo,36,19,Cai,-0.14732887629476143,0.9473684210526315,15.478489237326404,-26
2026,América-MG,26.57,30.75,4.18,28.703999999999997,Felipe Amaral,Volante,17,19,Cai,-0.4933836878119947,0.6296296296296297,15.586216617994497,-30
2026,Athletic,27.67,30.0,2.3299999999999983,28.811,Zeca,Lateral,37,12,Meio,0.05154194051061389,1.3703703703703705,16.331188866419026,-10
2026,Atlético-GO,26.76,31.12,4.359999999999999,29.093,Leandro Vilela,Volante,40,9,Meio,0.26157128913412575,1.5384615384615385,16.17163641788635,-7
2026,Avaí,27.14,30.14,3.0,28.756,Luiz Henrique,Meia,29,17,Cai,-0.13009001532521158,1.0740740740740742,15.89495209964411,-18
2026,Botafogo-SP,27.59,30.17,2.580000000000002,29.064999999999998,Rafael Gava,Meia,31,15,Meio,0.0005915618734981809,1.1481481481481481,15.679590688771956,-16
2026,CRB,26.41,29.88,3.469999999999999,28.493000000000002,Danielzinho,Meia,42,7,Meio,0.25714748062290504,1.5555555555555556,16.253500287964524,-5
2026,Ceará,26.43,29.73,3.3000000000000007,28.401999999999997,Richardson,Volante,31,16,Meio,-0.14987788654168122,1.1923076923076923,16.420050382696818,-16
2026,Criciúma,27.05,31.32,4.27,28.719,Fellipe Mateus,Meia,44,5,Meio,0.3656324448684465,1.6923076923076923,16.36104182956871,-3
2026,Cuiabá,26.57,29.52,2.9499999999999993,28.264,Pepê,Meia,39,10,Meio,0.1601841178549097,1.4444444444444444,16.199675637950744,-8
2026,Fortaleza,26.99,29.85,2.860000000000003,27.921999999999997,Lucas Sasha,Meia,47,4,Sobe,0.18138512690691688,1.7407407407407407,17.246266741867974,0
2026,Goiás,26.66,30.73,4.07,28.444000000000006,Gegé,Extremo,36,13,Meio,0.011863184068382937,1.3333333333333333,16.34123920227253,-11
2026,Juventude,26.17,29.94,3.7699999999999996,28.776,Lucas Mineiro,Meia,50,1,Sobe,0.4659058330243331,1.8518518518518519,16.586535558227872,3
2026,Londrina,26.87,30.84,3.969999999999999,28.988999999999997,Lucas Marques,Meia,22,18,Cai,-0.2867380443811932,0.8461538461538461,15.623799329143539,-25
2026,Novorizontino,27.96,31.13,3.169999999999998,29.339000000000006,Léo Naldi,Volante,49,2,Sobe,0.49865492430500247,1.8148148148148149,16.32103649495501,2
2026,Náutico,28.04,30.26,2.2200000000000024,28.983000000000004,Mateus Silva,Zaga,37,11,Meio,0.3989639672274665,1.3703703703703705,15.009433026436708,-10
2026,Operário-PR,26.69,30.27,3.5799999999999983,28.578000000000003,Matheus Trindade,Volante,43,6,Meio,0.3495581321373793,1.5925925925925926,16.042833166457772,-4
2026,Ponte Preta,25.67,31.94,6.27,28.860000000000003,Élvis,Meia,10,20,Cai,-0.6596890627053663,0.37037037037037035,15.232576577750919,-37
2026,Sport,26.66,30.73,4.07,28.630000000000003,Zé Gabriel,Volante,41,8,Meio,0.02972487014197478,1.5185185185185186,16.97781603134408,-6
2026,São Bernardo,25.65,29.85,4.200000000000003,28.593,Miraíma,Volante,35,14,Meio,0.14446558857563874,1.3461538461538463,15.885532877727618,-12
2026,Vila Nova,27.09,30.82,3.7300000000000004,29.020999999999997,Nathan Camargo,Lateral,47,3,Sobe,0.5198230154605341,1.8076923076923077,16.213405830762646,0
